v1	v2	label
P30656	P22141	1
P30656	P21242	1
P30656	P38624	1
P30656	P40302	1
P30656	P40303	1
P30656	P23724	1
P30656	P23639	1
P30656	P23638	1
P30656	P25043	1
P30656	P32379	1
P30656	P21243	1
P40303	P22141	1
P40303	P21242	1
P40303	P40302	1
P40303	P23724	1
P40303	P23639	1
P40303	P23638	1
P40303	P21243	1
P23639	P22141	1
P23639	P21242	1
P23639	P40302	1
P23639	P23724	1
P23639	P23638	1
P23639	P32379	1
P23639	P21243	1
Q06338	P0CX42	1
P31384	P39008	1
P25655	P31384	1
P32505	P38217	1
Q08096	Q08965	1
P53833	P41812	1
P53833	P38336	1
P53833	P38786	1
P33399	P38687	1
P33399	P38688	1
P05453	P12385	1
Q08924	P38238	1
P32783	P27692	1
Q00955	P20604	1
Q06624	P52488	1
Q12440	P53886	1
Q12440	P09798	1
Q12440	P16522	1
Q12440	P38042	1
P38270	Q02948	1
P36000	Q12028	1
P36000	Q00776	1
P36000	P38700	1
P36000	P35181	1
P38065	P27351	1
P38065	Q00381	1
Q08951	P46682	1
Q08951	P38153	1
Q08951	P47064	1
P46682	P38153	1
P40518	Q05933	1
P40518	P33204	1
P40518	P53731	1
P40518	P47117	1
Q05933	P53731	1
Q05933	P32381	1
Q05933	P47117	1
P53731	P38328	1
P53731	P32381	1
P53731	P47117	1
P38328	P47117	1
P07347	P12945	1
P08566	Q12464	1
P32381	P40518	1
P32381	P38328	1
P32381	P47117	1
P32447	P22216	1
Q07442	P35817	1
P29366	P39969	1
P29366	P11433	1
P36149	Q03630	1
P36149	P46944	1
P36149	P32893	1
P36149	Q04183	1
P36149	Q03660	1
P36149	P38334	1
P36149	Q03784	1
P36149	Q03337	1
P36149	Q99394	1
Q00618	P20133	1
P34730	P32356	1
P34730	P39104	1
P34730	P32608	1
P27637	P39960	1
Q08004	P33201	1
Q08004	P40693	1
Q08004	P53313	1
Q08004	Q03862	1
Q08004	P53261	1
Q08004	P38883	1
Q08004	P36160	1
Q08004	P53742	1
P28495	P13517	1
P28495	P40563	1
Q08920	P38996	1
Q08920	Q00539	1
Q08920	P53617	1
Q08920	P53207	1
P33322	P25586	1
P33322	Q12460	1
P37366	P06242	1
P37366	Q03290	1
P31384	P53280	1
P31384	P53829	1
P11433	P39969	1
P00546	P20486	1
P00546	P20437	1
P00546	P20438	1
P32457	P25342	1
P32457	P32458	1
P32457	P32468	1
P32457	Q07657	1
P07260	P10080	1
P07260	P34160	1
P07260	P39936	1
P06100	Q12514	1
P25655	P53280	1
P25655	P53829	1
P25655	P39008	1
P25655	Q12464	1
P25694	P33755	1
P25694	P34223	1
P25694	P53044	1
P25694	Q04311	1
Q00362	P23595	1
Q00362	P31383	1
Q00362	P50111	1
Q00362	P54786	1
Q12522	Q04660	1
Q12522	P40078	1
Q12522	P53145	1
Q12522	P43586	1
Q12522	P33201	1
Q12522	Q02892	1
Q12522	P22138	1
Q12522	P38805	1
Q12522	Q04373	1
Q12522	P38883	1
Q12522	P36160	1
Q12522	P53927	1
Q12522	P53742	1
Q03654	Q12309	1
Q03654	P20095	1
Q03654	P24384	1
Q03654	Q12417	1
Q03654	Q06091	1
Q03654	Q04048	1
Q03654	P53333	1
Q01159	O13297	1
Q06632	Q12102	1
Q06632	P29468	1
Q06632	P42841	1
Q06632	P42073	1
Q06632	P25298	1
Q06632	P39927	1
Q06632	P35728	1
Q06632	Q06224	1
Q12102	P29468	1
Q12102	P42841	1
Q12102	Q01329	1
Q12102	P39927	1
Q12102	Q06224	1
P22137	P17891	1
P32657	P38144	1
P38930	Q03213	1
P38930	P36076	1
P38930	P40340	1
P20486	P24870	1
P20486	P20437	1
P20486	P20438	1
P20486	P38634	1
Q12309	P21374	1
Q12309	P28004	1
Q12309	Q06091	1
Q12309	Q04048	1
Q08685	P39081	1
Q08685	P25298	1
Q08685	P25299	1
P53622	P43621	1
P53622	P32074	1
P53622	P41810	1
P53622	P40509	1
P07256	P07257	1
P07255	P04037	1
P53859	P48240	1
P53859	P38792	1
P53859	Q12277	1
P53859	P25359	1
P53859	P46948	1
P53859	Q08491	1
P49956	P38877	1
P49956	P21951	1
P49956	P38629	1
P49956	P40339	1
P49956	P38251	1
Q03957	P46962	1
Q03957	P46963	1
P89105	P15790	1
Q02554	Q08963	1
Q02554	Q07350	1
Q02554	P32524	1
Q02554	Q04693	1
Q02554	P40018	1
P08678	P17442	1
P08678	P17555	1
P53550	Q12517	1
P53550	Q02773	1
P53550	P39998	1
Q08162	P48240	1
Q08162	P25359	1
P38859	P22336	1
P36037	P25694	1
P36037	P34223	1
P53068	Q12440	1
P53068	P09798	1
P53068	P16522	1
P24482	Q04603	1
P24482	P21951	1
P27344	P24482	1
P27344	Q04603	1
P27344	P21951	1
P39715	Q04175	1
P38241	Q12309	1
P38241	P32523	1
P38241	Q12417	1
P34216	P25623	1
P42935	Q02908	1
P42935	P38874	1
P42935	Q06706	1
P42935	Q02884	1
P38333	Q04217	1
P38333	P53914	1
P38333	P25586	1
P38333	P34078	1
P38333	Q99207	1
P38333	Q07381	1
P38333	P53251	1
P38333	P53254	1
P38333	Q08444	1
P38333	Q12754	1
P38333	Q06512	1
P43572	P60010	1
P43572	Q12432	1
P43572	Q08649	1
P43572	P38811	1
P43572	Q06337	1
P43572	P53930	1
P43572	P39995	1
Q04660	Q08235	1
Q04660	Q03532	1
Q04660	P40991	1
Q04660	P40693	1
Q04660	P53136	1
Q04660	P53927	1
Q04660	P39744	1
Q05359	P32803	1
Q05359	P39704	1
Q05359	P54837	1
P39704	P32803	1
P39704	P54837	1
Q08649	P60010	1
Q08649	P80428	1
Q08649	Q12432	1
Q08649	P38811	1
Q08649	Q06337	1
Q08649	P53930	1
Q08649	P19880	1
P38261	Q06245	1
P38261	P33332	1
P38261	P89102	1
P38261	P32844	1
P38261	P32855	1
P45976	Q06632	1
P45976	Q12102	1
P45976	P29468	1
P45976	P42841	1
P45976	Q01329	1
P45976	P25298	1
P45976	P39927	1
P45976	P35728	1
P45976	Q06224	1
P20081	P53971	1
P15624	P15625	1
P38310	P43561	1
P09032	P14741	1
P09032	P20459	1
P32501	P14741	1
P32501	P20459	1
P43535	P33892	1
P14741	P32481	1
P14741	P12754	1
P14741	P32502	1
P14741	P09064	1
P39958	P01123	1
P39958	P38555	1
P39958	P36018	1
P38682	P32074	1
P38682	P41810	1
P06774	Q02516	1
Q12341	P39984	1
Q12341	Q12373	1
P20448	Q03532	1
P53973	Q06623	1
P53973	Q06629	1
P00815	P39517	1
P49955	Q04693	1
P38348	Q04062	1
P38348	P40327	1
P38348	P33298	1
P38348	P33297	1
P02294	P38144	1
P02294	P53067	1
P02294	P25293	1
P02294	P21951	1
P02294	P22276	1
P02294	P32349	1
P38265	P38313	1
P38265	P38907	1
P00817	P51862	1
P00817	Q06412	1
P00817	Q07622	1
P00817	Q12194	1
P38144	P43596	1
P38144	P32333	1
P38144	P43609	1
P38144	P22579	1
P38144	Q08119	1
Q08773	P53125	1
P38217	Q99383	1
P20967	P19262	1
P20967	P09624	1
P20967	P19955	1
P19262	P09624	1
P19262	P19955	1
P40024	Q03862	1
P40055	Q08965	1
P40055	P25635	1
P40055	Q06679	1
P40055	Q02354	1
P40055	P53254	1
P40055	P53276	1
P40055	P42945	1
P40078	Q03532	1
P40078	P33201	1
P40078	Q02892	1
P40078	P40693	1
P40078	P53313	1
P40078	P25382	1
P40078	Q03862	1
P40078	P40010	1
P40078	P38883	1
P40078	P53742	1
P40078	P39744	1
P53145	P38861	1
P53145	P38344	1
P53145	Q03862	1
P25586	Q08965	1
P25586	Q04217	1
P25586	P47083	1
P25586	Q99207	1
P25586	Q06506	1
P25586	Q06679	1
P25586	Q02354	1
P25586	P42945	1
P25586	Q06078	1
P25586	Q06512	1
P40970	P25045	1
P47017	P53550	1
P47017	P39517	1
P47017	P38203	1
P47017	P40070	1
P47017	P30771	1
P47017	P25644	1
P40089	P38203	1
P53905	P39517	1
P53905	P47017	1
P53905	P38203	1
P53905	P40070	1
P53905	Q06406	1
P53905	P25644	1
P53905	P49960	1
P53905	Q06217	1
P53905	P36048	1
P53905	Q12420	1
P07866	P38853	1
Q07508	Q00539	1
Q07508	P33203	1
Q07508	Q03776	1
Q07508	P40018	1
Q07508	Q00916	1
Q07508	Q03782	1
Q07508	P53207	1
Q07508	P34160	1
Q07508	Q05900	1
Q03503	Q02197	1
Q03503	P23059	1
P38112	Q03532	1
P38112	Q02892	1
P38112	P53136	1
P38112	P34241	1
P38112	Q12024	1
P10507	P11914	1
P39678	P09959	1
Q12158	P32908	1
Q12158	P47037	1
P53091	P29496	1
P18409	P23644	1
Q12124	P33308	1
Q12124	P19659	1
Q12124	Q12321	1
Q12124	Q12343	1
Q12124	Q08278	1
Q12124	P38304	1
Q12124	P53114	1
Q12124	Q06213	1
Q12124	P40356	1
Q12124	P19263	1
Q12124	P32259	1
Q12124	P34162	1
Q12124	P32569	1
Q12124	P32585	1
Q12124	P39073	1
Q08278	P33308	1
Q08278	Q12321	1
Q08278	P38782	1
Q08278	P38304	1
Q08278	P19263	1
Q08278	P32570	1
Q08278	P47822	1
P38920	P14242	1
P32333	P13393	1
P32902	P10662	1
P32902	P33759	1
P32902	P27929	1
P32902	P17558	1
P32902	Q03201	1
P32902	P36056	1
P36520	P25642	1
P36520	P36527	1
P38064	P51998	1
P31334	P25626	1
P31334	Q06630	1
P31334	P36525	1
P31334	P53166	1
P31334	P51998	1
P33759	P36056	1
P25847	Q06629	1
Q03834	P32787	1
Q03834	P25847	1
Q03834	P35187	1
Q03834	Q12510	1
P47047	P38996	1
P32605	Q08920	1
P32605	Q03776	1
P32605	Q00916	1
P32605	P34160	1
P38236	P53185	1
P08964	P60010	1
P08964	P53141	1
P08964	Q06580	1
P19524	P06787	1
P19524	P40513	1
P19524	P53141	1
P19524	P51534	1
P32492	P60010	1
P32492	P53141	1
P32492	P36068	1
P32492	P38272	1
Q00539	P32605	1
Q00539	Q01560	1
Q00539	P39682	1
Q00539	P33203	1
Q00539	Q03776	1
Q00539	P40018	1
Q00539	Q00916	1
Q00539	Q03782	1
Q00539	P53207	1
Q00539	P34160	1
Q00539	Q05900	1
P25293	Q12263	1
P25293	Q12692	1
P25293	P53067	1
P25293	P25389	1
P25293	P53939	1
P25293	Q08229	1
P25293	Q12159	1
Q03435	P80428	1
Q03435	Q12386	1
Q03435	P53115	1
Q03435	Q12464	1
Q03435	P40060	1
Q03435	P43579	1
P32495	P33322	1
P32495	P15646	1
P32495	P42945	1
P32495	P34241	1
P32495	Q06078	1
P32495	Q04867	1
P38861	P38344	1
P38861	Q03862	1
P43601	P53855	1
P40991	Q12522	1
P40991	Q06205	1
P40991	Q03532	1
P40991	P43586	1
P40991	P33201	1
P40991	Q08962	1
P40991	Q02892	1
P40991	P38805	1
P40991	P35178	1
P40991	P25808	1
P40991	Q12176	1
P40991	P40010	1
P40991	P53254	1
P40991	P38779	1
P40991	P34241	1
P40991	Q07915	1
P37838	Q08235	1
P37838	P32892	1
P37838	Q03532	1
P37838	Q02892	1
P37838	Q08208	1
P37838	Q12176	1
P37838	Q04373	1
P37838	P40010	1
P37838	P53261	1
P37838	P38779	1
P37838	P42945	1
P37838	P34241	1
P37838	P39744	1
P37838	Q12754	1
P37838	Q12024	1
P06102	P25655	1
P33755	P53044	1
P14907	P34077	1
P14907	P40477	1
P14907	P40368	1
Q02630	P14907	1
Q02630	P40368	1
P39705	Q06142	1
P39705	Q02821	1
P40368	P40477	1
P54784	P32833	1
P54784	P54790	1
P54784	P54791	1
P54784	P50874	1
P54784	P38826	1
P32833	P54790	1
P32833	P54791	1
P32833	P50874	1
P32833	P38826	1
P41543	Q03723	1
P41543	P39007	1
P41543	P33767	1
P48363	P53900	1
P48363	Q04493	1
P48363	P52553	1
P53010	P36102	1
P29468	P42841	1
P29468	Q01329	1
P29468	P53538	1
P29468	P39927	1
P29468	P35728	1
P29468	Q06224	1
P29468	Q06102	1
P39081	P25298	1
P39081	P25299	1
P32473	P12695	1
P32473	P09624	1
P32473	P16387	1
P32473	P16451	1
P27801	P12868	1
P27801	Q03308	1
P27801	P20795	1
P27801	P38959	1
P27801	P39702	1
P16862	P16861	1
P42841	P39927	1
P42841	Q06224	1
P38121	P13382	1
P38121	P20457	1
P39008	P53829	1
P38291	P41812	1
P38291	P53833	1
P38291	P38336	1
P38291	P53218	1
P38291	P38786	1
P32345	P38193	1
P32345	P40164	1
P53043	P02829	1
P23639	P38737	1
P23639	P30657	1
P54885	P25646	1
P49704	P38203	1
P49704	Q06406	1
P49704	Q03338	1
P49704	P20053	1
P49704	P19735	1
P49704	P40018	1
P49704	Q12420	1
P20053	P19735	1
P20053	P36048	1
P20053	Q12420	1
P53131	P38011	1
P53131	P36048	1
P53131	P52868	1
P53131	P53866	1
P28004	Q08963	1
P28004	P32523	1
P28004	P53131	1
P28004	Q12417	1
P28004	Q04048	1
Q12417	P32523	1
P33334	P32357	1
P33334	Q03654	1
P33334	Q12309	1
P33334	P38203	1
P33334	Q06406	1
P33334	P32523	1
P33334	Q03338	1
P33334	P49704	1
P33334	P20053	1
P33334	P53131	1
P33334	P40018	1
P33334	P36048	1
P33334	Q12420	1
P33334	Q04048	1
P33334	P25337	1
P33334	P52868	1
P33334	P53333	1
P33334	P38852	1
P06103	P32911	1
P32337	P53267	1
P32337	P13902	1
P32337	Q06142	1
P32337	Q02821	1
P32337	Q02724	1
P32337	P53251	1
P32337	Q12754	1
P32337	Q12159	1
Q01329	P39927	1
Q01329	Q08553	1
Q01329	Q06102	1
P34221	Q12447	1
P38089	Q12447	1
P38089	Q04007	1
P32588	Q01560	1
P32588	P40561	1
P32588	P39935	1
P25635	Q08965	1
P25635	Q12220	1
P25635	Q04217	1
P25635	P38333	1
P25635	P53941	1
P25635	P25586	1
P25635	Q02931	1
P25635	Q12499	1
P25635	Q06506	1
P25635	P35194	1
P25635	Q06679	1
P25635	Q02354	1
P25635	P53254	1
P25635	P53276	1
P25635	P38882	1
P25635	P42945	1
P25635	P53743	1
P25635	Q06512	1
P32628	P14736	1
P32628	P38886	1
P06839	P40469	1
P25454	P06778	1
P25454	P22336	1
P53063	Q02792	1
P22007	P29703	1
P42073	P42841	1
P42073	P39927	1
P42073	P35728	1
P42073	Q06224	1
P43621	P32074	1
P43621	P41810	1
P43621	P41811	1
P43621	P40509	1
P22336	Q06142	1
P22336	P38111	1
P22336	P40562	1
P22336	P06778	1
P22336	P26754	1
P40348	P40339	1
P38251	P38630	1
P38251	P38629	1
P38251	P40339	1
P38339	P46949	1
P38615	P25293	1
P25298	P42841	1
P25298	Q01329	1
P25298	P25299	1
P25046	P33308	1
P25046	P38782	1
P25046	Q08278	1
P25046	P38304	1
P25046	P53114	1
P25046	P40356	1
P25046	P19263	1
P25046	P32259	1
P25046	P32569	1
P25046	P32585	1
P32529	Q00684	1
P32529	P22138	1
P32529	P10964	1
P32529	P46669	1
P32529	P07703	1
P16370	P38902	1
P16370	P20436	1
P16370	P27999	1
P16370	P41896	1
P16370	Q07532	1
P34087	P38902	1
P34087	P08518	1
P34087	P20433	1
P34087	P20436	1
P34087	P32914	1
P34087	P27692	1
P34087	P41895	1
P34087	P41896	1
P27999	P35189	1
P27999	P08518	1
P27999	P20433	1
P27999	P20434	1
P27999	P34087	1
P27999	P04050	1
P27999	P20435	1
P27999	P41895	1
P27999	P41896	1
P32910	P22276	1
P32910	P36121	1
P32910	P07703	1
P32910	P25441	1
P07703	P39517	1
P07703	P22139	1
P07703	P17890	1
P07703	P36121	1
P07703	P25441	1
P07703	P32349	1
P32561	P31385	1
P32561	Q12432	1
P32561	P50947	1
P32561	P38429	1
P32561	P22579	1
P32561	Q03010	1
P32561	P38255	1
P32561	Q04779	1
P32561	Q08923	1
P38805	Q03532	1
P38805	P53136	1
P38249	Q05775	1
P38249	Q03195	1
P38249	P40217	1
P0CX42	P40069	1
P0CX42	P39744	1
P0CX46	P53145	1
P0CX46	Q03862	1
P0CX46	P53261	1
P0CX46	P39730	1
P38886	P38737	1
P38886	P50086	1
P38886	P22141	1
P38886	Q08723	1
P38886	P40327	1
P43588	P38737	1
P43588	P32496	1
P43588	P40016	1
P43588	P40327	1
P43588	P33298	1
P32496	P38737	1
P32496	P22141	1
P32496	P40016	1
P32496	Q12377	1
P32496	Q06103	1
P32496	Q04062	1
P32496	P40327	1
P32496	P33298	1
P32496	P33297	1
Q12250	P38737	1
Q12250	P22141	1
Q12250	P43588	1
Q12250	P32496	1
Q12250	Q06103	1
Q12250	Q08723	1
Q12250	Q04062	1
Q12250	P40327	1
Q12250	P33298	1
Q12250	P33297	1
Q12377	P38737	1
Q12377	P33298	1
Q12377	P33297	1
Q08723	P38737	1
Q08723	P30657	1
Q08723	P40302	1
Q08723	P23638	1
P04051	P14540	1
P04051	P41910	1
P04051	P20434	1
P04051	P20436	1
P04051	P28000	1
P04051	P25441	1
P33299	P38737	1
P33299	P43588	1
P33299	P32496	1
P33299	P40016	1
P33299	Q12250	1
P33299	Q06103	1
P33299	Q08723	1
P33299	Q04062	1
P33299	P40327	1
