Q3E7Y3	P40513
P47027	Q12208
P39009	P38265
P06838	P53079
P38427	Q08581
P46951	P40340
Q03430	P20434
Q06631	P35200
Q03018	P53911
P53897	P00729
P27466	P53068
P38324	P40072
P60010	P53933
P38959	P38794
P32599	P39727
P38182	Q05541
P06106	P38766
P40344	Q04410
P36040	P40578
Q05905	Q05776
P38844	Q3E7A4
P32610	P32502
P36421	Q05568
P38705	P53159
P53318	P32897
Q12034	P36083
P48564	O13563
P32335	P46151
P53733	P07262
P38826	P20052
P37262	Q12034
Q12493	P43122
Q12342	P53867
P38987	Q08754
P32611	P40482
P25043	P33301
P36527	P32366
P46671	Q01389
P32464	P40335
Q01329	P35177
P53191	P41057
P22211	Q06245
P35996	Q05027
Q08285	P53037
P46962	P46951
Q06406	P00549
Q06103	Q99220
P06242	P32794
Q03690	Q03330
Q12451	Q06236
P33202	P21306
Q12158	Q03088
Q9URQ5	P40091
P14693	Q04264
Q03897	Q08932
Q06071	Q12107
P50101	P53734
P25389	P35197
P36126	P33441
P47017	P06779
P38344	P41901
P32458	Q2V2P9
P53212	P00937
P22216	Q06493
P25451	P17065
Q99189	P38352
P41546	Q12164
Q08412	P38705
P38144	P31412
P42836	P05740
Q08096	Q02866
P41546	P50109
P53189	P32898
P30283	P32628
Q01855	P39743
P25808	P32828
P12688	P49573
Q08446	P53722
Q03713	Q99394
P32345	P53847
Q02647	O13297
P27929	P52870
Q12499	Q12318
P48415	Q99257
P40161	Q03921
P33333	P0C0V8
P24004	Q04199
P38623	P22135
P28496	P48606
P04803	P38348
Q12024	O13329
P26793	P16664
P06839	Q07458
Q06106	Q12015
Q03327	P36090
P35729	P39875
P40956	Q04053
P53969	P40359
P51862	P40487
P53141	P14064
P53271	P40957
P53899	P48360
Q3E7B2	P32499
P53847	P50875
P22007	Q12046
P12689	Q12502
Q3E6R5	Q06205
Q12334	P53965
P12866	P25604
Q02908	Q12234
Q03327	P53224
Q05931	P07270
Q07914	P41832
P07251	P53854
P34167	P53921
Q07362	P40084
P36145	P53253
P25604	P40316
P24280	Q07457
Q96VH5	Q02685
P40106	P36516
P35181	P33753
P53068	Q06673
P23639	Q05468
P38863	P40075
P33339	P51998
P40858	P38688
P14126	Q01926
Q02455	Q12041
P53076	P34167
Q06337	P14741
Q12297	Q12134
Q04673	P53843
P52917	P53079
Q08492	Q08204
Q12188	P03069
P32830	P40960
P33315	Q3E7B6
Q03212	P41805
P34217	P53313
P17122	P40548
P42943	Q03096
P11491	P17890
P25605	P33330
Q12314	P25655
Q12122	P28778
P36006	P52286
P32491	P19659
P36531	P38198
Q04549	P47167
Q05776	P32599
Q02732	Q07845
P34110	P54838
Q02892	P06777
P18562	Q05543
P07252	Q12425
P53305	P41814
P17890	P32796
P38326	P40512
P16862	Q02336
P38748	P26449
P22211	P42935
Q3E7X9	P16140
P22146	Q08287
Q2V2P8	P38958
P47075	P00420
P27801	P20676
P25348	P47108
P38431	P35817
Q02685	Q04930
Q06679	Q07921
Q12342	P31373
P38127	P38882
P28495	P26754
P07248	P47104
P34160	P47075
P05986	P07257
Q12074	P06101
P24871	Q06449
P18480	Q92325
P46674	P46988
Q06236	P00958
P38820	Q99234
P53233	P28005
P38247	Q3E840
P38234	Q08287
P09119	P39078
P38827	P38753
P53112	P38768
P40005	P28005
P50946	P32799
Q04748	P23638
P45978	P25385
P33333	Q12527
Q00816	P14064
P46949	Q99222
Q12154	P53743
P38426	P21268
Q06640	P38823
P43573	P43614
Q03327	Q12460
P28778	P37299
Q07688	Q08965
P43614	Q04779
P28005	Q08162
P32349	P39937
P32628	P17890
P53152	P38270
P43555	Q03868
P40314	Q12462
P28003	Q05933
P35688	P41920
P20434	Q04373
P14120	P07264
P07257	P47140
P48525	P28005
Q03973	P40303
P36126	P36532
Q02196	P36124
P40507	P08539
P53330	P38927
Q00955	Q12368
P42844	Q08438
P04821	P38138
P38932	Q07362
P36132	P54074
P19956	Q06340
P39936	P38840
P46151	Q04969
P35056	P38274
P16474	P36516
P04385	P43682
P34252	P33748
P14922	P52868
P36096	P32259
Q04279	Q03784
P42838	Q03496
P34078	P38182
P35127	Q01159
P53846	P10080
Q08003	P53327
P47120	P40325
P54005	P53281
P39946	P12687
P41818	Q01329
P38110	P12689
P38810	P26448
P27705	Q02629
P38272	P32521
Q06163	P28817
Q07395	Q03768
P14284	P53741
P32502	P40465
P22147	P40060
Q03503	P15180
P54113	P40164
P53170	P36046
P47025	P07866
P40026	P06778
Q12186	Q03071
P32893	P12695
Q12107	P57744
P53124	P48439
P36000	P40364
P49960	P38968
Q12363	P38080
Q06001	P50089
P32381	P36009
P40342	P40024
P38264	P38872
P36000	P54074
P39940	P08525
P53191	P57743
P09932	Q02753
P38089	P39722
P23293	P42900
P19812	P53965
P40018	P25491
P39742	P06242
P38426	Q12514
Q03390	P20485
P38682	Q12421
P38291	Q12502
Q02354	P32862
P07281	P23255
Q04003	Q99278
P40210	P36037
P46947	P20676
P36161	P54199
P14164	Q12508
Q02774	P53207
P38273	P19735
P38165	P07276
P33416	Q3E6R5
Q08003	Q04067
Q12306	P20485
P32657	P07834
Q04847	P31376
Q12368	P17883
Q12262	P09232
Q06835	P01123
P20486	P47142
P14064	P38072
P47129	P39520
P48361	P38888
P40567	Q04217
P53830	Q04264
Q6WNK7	Q00816
P11938	Q12046
P31373	P14682
Q00578	Q05580
P38806	P36022
P47110	P53628
P38985	P38116
P40482	P22135
P07267	P24482
P48525	P27999
P34077	P25043
Q92325	P40059
P38304	P49334
Q12265	Q12420
P53125	Q02866
P32565	Q05359
P40464	Q12463
P46948	Q03920
P04801	P40046
P16523	P36068
P33417	P28004
Q04338	P53735
P21825	P19736
Q04183	P40098
Q00873	P49687
D6W196	P46671
Q06164	P08466
Q12389	P38903
P53141	P36421
P41819	P38428
Q03768	P36149
P32862	P06106
P11927	P38930
P38147	P06104
P21264	P43591
P11747	Q08236
P21524	Q03714
Q03782	P53305
Q03406	P53741
P21954	P53043
Q04031	P38333
Q00776	P38850
P0CE41	P11914
P02829	P53507
P49167	Q08966
P38869	P32341
P06103	P47086
P47110	Q06162
P43555	P39875
P40021	P23202
P53244	P29461
P32505	P46655
Q03768	Q12308
P47041	P28817
Q02908	P40156
P29469	P53076
P29056	P40693
P25656	P05317
P38293	P09457
Q06142	P39925
P32849	P15646
P19414	P40316
Q03435	P53866
P40559	P39079
Q04511	Q08923
P36533	P33755
P36041	P14242
P40498	P53875
Q03630	P40059
P40480	P40513
Q04924	P53184
P38285	P53734
P17119	Q08601
Q12306	P22353
P33891	P53732
Q03125	P60010
P38262	P40357
P32902	P49018
Q02732	Q12361
Q06624	Q06511
Q02521	P32473
P53146	P14120
P39984	P32499
Q03937	Q08561
Q99207	P53622
P53507	P09032
P54791	P53179
Q12461	P11938
P32491	P39993
P20604	P40573
P15731	Q99394
O14468	P00431
P32861	P13382
P22353	Q12389
P69771	P49704
P46970	P53248
P32860	P38852
P38779	P18409
P38931	P07251
P34241	P39955
P53278	P38957
P32855	P22216
P40359	P31383
P39014	P31244
P47112	Q12386
P43554	P07283
Q12019	P38825
Q02908	P22216
P41920	Q12102
P52870	Q01919
Q12255	P38251
Q12146	Q12287
P53840	P53165
Q02866	P11938
P39704	Q12216
P43565	P32829
Q07541	P15873
Q02774	Q12009
Q07528	P53239
P33296	P39538
Q00539	Q06673
P41910	P25339
P38247	Q02784
P25441	P53063
P32419	Q08444
P34225	P49686
P09232	P33202
P53193	P33315
P39955	Q03496
Q06625	Q12280
P38882	P46985
Q06623	Q12493
Q03937	P38911
P41819	Q08096
P38063	P22438
P20081	P37370
Q07794	Q02260
P38888	Q99181
Q04003	Q99382
Q04080	P53741
Q06407	Q12530
Q12425	P38794
P19735	Q03390
P89886	P00854
P39731	P40484
P32499	P50945
P38801	Q04894
P25039	P14680
P46671	P38316
P08524	Q06604
P25299	P05030
P47006	P40990
Q06697	P25344
P49334	P26449
P53267	P53112
P34756	P24384
P32559	P00424
P31111	P53080
P22214	P87262
P39969	Q3E840
P08518	Q04370
Q04930	P34077
Q04636	P40856
Q03018	O14467
P33301	P38427
P40157	Q06505
P38292	P02557
P11927	P40450
Q08236	Q00764
P43639	P29467
P49704	Q12176
P43565	Q08966
P38840	P47167
P37370	Q6WNK7
P38013	Q12146
P36168	P28006
P42843	P23369
Q05905	P53336
Q04279	P22354
P25296	Q12522
Q12365	P07269
P27692	P53091
P38247	P53169
P40094	P28834
Q03957	P00431
P38692	P53971
P53165	P00950
P53718	Q06834
P25566	P32334
Q12749	Q05787
Q00246	P32571
P38262	Q03246
Q06169	Q03899
P31539	P40014
P49166	Q00711
P38825	Q04947
P46676	P0C0W9
P32368	P53086
Q06677	Q12066
Q12483	P40573
Q12308	P53951
P38866	Q06488
P29478	Q99257
P14540	P38860
P32337	P47134
P32501	P05740
Q01939	P53179
P32939	P10622
Q02892	Q05789
Q12495	P46959
Q07807	P49957
P31244	P06208
Q02354	P41910
Q02784	P07251
P13434	P54999
P39013	Q08230
P05318	P39718
P38255	P29056
P0CY09	P36534
P38712	P36015
P39984	Q08471
P07273	P43605
P61829	P32458
P38349	P47069
P00950	P07256
Q99383	P32844
P38891	P32494
Q05670	P39722
P12385	P38824
P25644	P47103
Q07622	P32581
Q12276	Q05027
P25386	P46985
Q12754	Q08281
P39007	P38692
P32368	P40343
Q03723	Q08245
P12945	P41544
P38883	Q06678
P47117	O13563
P53112	P14907
P22007	P25637
P35208	Q12149
P34087	P31376
Q12223	P46675
P32873	Q05919
P09457	P07274
P12684	Q02208
Q12434	Q07980
P06208	Q99332
Q02521	P18239
Q07540	P10849
Q03533	P39955
P19263	P38615
P41833	P38041
P53981	P12612
P04449	Q06640
P36118	P40362
P23293	P39735
P40450	P35178
P46954	P48563
Q04603	Q03713
Q02159	P51862
Q02794	P00445
P22203	Q08179
P36037	P34730
P39944	P34224
P52919	P38337
P36040	P06779
P21264	P53064
P53202	P26321
P47122	P0CX52
P36126	P53277
P32629	P48412
P00856	P39731
Q06469	P53289
P52491	P13856
Q07532	P36083
P32783	P53168
P43564	P22517
P40028	P36527
P14682	P25642
Q99234	P33892
Q02354	Q04697
P53248	P53622
Q12241	P50108
P40413	Q04660
Q04781	P32660
P81451	Q12309
P38789	P38086
P34730	Q12038
P35184	Q08921
P0CX87	P40466
P47050	P41318
P47011	P25605
Q08096	P40098
O14468	P00427
Q03322	P39985
P00937	P36015
Q12315	P43598
P36056	Q12483
Q12251	P01097
P06704	Q12175
P32342	Q3E744
P32364	P69852
P40069	P04786
P27466	P32854
P34167	P19145
Q02775	Q08962
P49687	Q04110
Q04431	P22213
O74700	P39715
Q06632	Q08873
P38170	P35187
P05747	Q02555
Q06679	P42844
P49956	P00937
P40005	P11978
P46954	P22213
P40089	O14464
P13259	P33315
P38850	P38241
Q03782	P53859
P51534	P43639
P08539	P46944
P52960	Q06163
P38555	P05986
P32492	Q03713
P25038	P47037
P24783	P38130
P53731	P50094
P29539	P35208
P25451	P43565
Q03125	P32899
P32492	P36527
P19454	P20484
P36149	P38784
P46669	P12868
Q03954	P38324
P28817	Q04225
P10964	P20133
P53540	P07251
P36080	P34730
P40208	O75012
Q04947	Q04228
P53769	Q06159
P32604	Q05580
P47042	Q12466
Q07084	P31334
O74700	P39730
Q04632	P07213
P04039	P21192
Q06148	P40987
Q05636	P46963
P33202	P32453
P41546	Q12038
Q12161	Q12052
P40541	P36057
P00958	Q04739
P20133	P34111
Q08817	P43535
P06779	P36160
P22138	Q03071
Q12403	Q03937
P53008	P53179
P32562	P50106
P50077	P34224
P07149	P36108
P02992	P38784
Q3E830	Q12421
Q04493	P48564
P32367	P23595
P50108	Q07963
P07347	P21190
Q12208	P40487
P40987	Q12345
P53978	Q12460
Q06697	P53083
Q01477	P38915
P38786	P11632
P50111	Q99189
P38274	P48524
Q99359	P47123
P38810	P40061
P48569	Q03195
P36147	P25591
P36054	P31111
Q02516	P08432
Q02205	P07283
P40343	P20438
P40562	Q08963
P39676	P25616
P46944	Q03714
P38781	P12709
P19097	P53981
P04456	P40992
Q01389	P23287
Q02455	P33448
Q07844	P32905
P32447	P87262
Q12493	Q05809
P36054	Q04598
P36130	P38819
P52286	P19736
O13516	P53277
P24867	Q12234
P38064	P48606
P40994	P53082
Q05791	P29056
P33203	P47041
P53437	P36121
P32364	Q12306
P37267	Q12341
Q08235	P38915
P47104	Q99176
P32799	P50623
Q07794	P40469
P47170	P53079
P33338	P24583
P25337	P39078
P30665	P53178
P30619	Q02100
P38737	P22203
Q05471	P48415
Q08818	Q06142
P21691	P14904
P38241	Q08496
P53742	P32639
P33419	P49956
P47129	Q6Q546
P57744	P27999
P19414	Q12318
P53320	P25443
Q12415	Q07930
P47081	P23968
Q04894	P40028
Q08729	P15019
Q08601	P38911
P29056	O14468
P19659	P24783
P48510	P0C2H8
P42949	P38242
P40487	P53289
Q03694	P10663
Q07794	P32794
P12754	P40314
Q12156	Q06525
P53741	Q04781
P38719	P25339
P41695	P25646
P38930	P40480
P39744	Q12280
P38339	P32580
P53271	P38798
P32774	P19516
P21339	P39081
P20606	P43638
P38873	P38838
P53140	P40518
P32480	P07256
Q3E744	P32805
P17076	Q12220
P02992	P18494
Q05809	P25604
P53971	P22276
P47037	P51534
P40072	P05085
P09624	P39967
P53093	Q04894
P32943	P38624
P22289	Q04373
Q04049	P20107
P32581	Q12072
Q04651	P32905
Q02875	P32337
P32831	P69851
P51534	P38182
Q04867	P53540
P20424	P38931
P12612	P32794
Q12369	P25719
P50087	P0CX56
P38879	P89114
P36000	P32660
P00950	Q92317
P17255	Q12461
P38255	P53267
Q08412	P18888
Q06107	Q12009
P20484	P40059
P54787	Q06217
P27351	P32325
P40395	P53169
P32581	P28817
P24869	Q02821
P25694	P46963
P24482	Q07528
P27515	P07250
P53311	P36531
Q08245	Q06103
P33749	P14127
P34252	P20437
P17890	Q01590
P40466	P48412
Q04341	Q06389
O13516	P87108
Q07418	P22147
P43598	P26784
P40970	P36070
P06779	P28239
P48439	P53939
P53691	P38274
P11938	P38218
P47064	P53955
P36533	Q05934
P38147	P69850
Q06218	P06778
P25039	P53875
P15703	P32571
Q08550	P36018
Q06224	P40693
P25638	P53628
P38210	P40341
P38203	Q01852
P50113	P25604
P35182	P07257
Q99189	Q12522
P53176	P53951
P32910	P38825
P25588	Q12117
P21268	P32790
Q12754	P46671
P15873	P46674
P17555	P09232
Q12072	P32447
P32526	P0CX30
P20433	P06168
P35181	P09938
Q04272	P47120
Q06630	Q12050
P15790	Q92317
P13517	P53135
Q08484	P38633
P57744	Q03897
Q08179	Q02875
Q01163	Q08496
P53733	P38297
Q03835	Q12476
Q03940	P25389
Q02260	P89114
P40045	Q06096
P38229	Q12311
P53900	P41834
P39103	P40005
P48527	P38285
Q99314	P38238
Q99258	P40204
Q12464	P38856
P39013	P54837
P05986	P53079
P36080	P38840
P32807	P32463
P38346	P40567
P53083	P47019
P32613	P38254
P38712	P46151
P38736	P53278
P32074	P39937
P32485	P50089
P00854	P11914
P0C5N3	P52491
P00729	P38292
P21951	P25451
P40856	P38147
P06838	Q3E744
P54005	Q03503
P33750	P25656
P15019	P34230
P0CX46	P53163
P28006	P38874
Q08961	P38692
P40020	Q03750
P07560	P53202
P32501	P53011
P32599	P33304
P09232	Q06629
Q04373	Q03630
P53131	P48564
P38879	P32794
P38305	P38859
P39928	Q06580
Q08235	P42939
P53070	P32364
P38187	P53733
Q04210	P39940
P25366	P53165
Q06504	P0CX52
Q12134	P53082
Q03466	Q12255
P10849	P53735
P36516	P40078
P52960	P46984
P41901	P48565
Q05775	P40161
P53632	P38307
Q03388	P38960
P25389	P53875
Q06001	P53900
P40362	P40568
P41811	P38313
P35127	P38742
P31373	Q04264
P33753	P28795
P87262	P41832
P41819	P32481
P40018	P53086
P40029	P39960
P81450	P31688
P22137	P48560
O13297	P09201
Q12000	P00950
P38788	Q12030
P47017	P53290
P53843	P37296
P17157	P22438
Q04359	P38305
P53733	P40090
Q08179	P54784
Q06389	Q12192
P31380	Q12463
P47024	P41057
P09232	Q04368
P47025	P54838
P43573	Q02206
P40357	P38759
P38348	P40513
P25043	Q02574
Q01454	P25300
P14742	P41810
P36022	P38349
Q3E7B6	Q02555
P39076	P23641
Q03308	P40559
Q04048	P37838
P41818	P26793
Q04632	P40054
P32566	P04911
Q03784	P40005
P50623	P43591
P40454	Q06142
P52286	P22224
P53166	P46672
P32909	P10823
Q05787	P10080
P28495	P38162
Q04048	P20095
P33204	Q03496
P43563	P01120
P26754	P15646
P38316	P48560
P34253	P38236
P39995	P38232
P53309	P14908
P47136	Q9URQ5
Q06336	P22082
P38771	P53082
P20081	P80667
P12684	P38234
Q04228	P53038
P34166	Q07532
P38111	P36036
P48606	P81451
P38863	Q04477
P07347	P25451
P32769	P36516
Q12345	P17214
P18634	Q04437
P38928	Q12176
P28495	P00445
P09932	Q00578
P42939	P33767
P16664	Q06639
P38758	P28274
P40565	P34164
Q6WNK7	Q04183
Q03430	P0CX46
P34232	Q05779
P38705	P08566
P32468	P38111
P32333	P38825
P06700	P47187
Q03018	P38590
Q04461	Q12461
Q06001	P89102
P38232	P23585
Q12194	Q00245
P32489	P39722
P38356	P36131
P38198	Q12373
Q04175	P13382
P18898	P38041
Q06682	P32916
Q08981	P33419
P38208	Q12015
Q03430	Q12038
P19262	P38337
Q05930	P25573
P40366	P32266
Q12019	P40089
P25043	Q12143
P25045	P40055
P38712	P47166
Q08646	Q08561
Q12502	P40060
P40339	P25293
Q06132	P46678
P53169	P53326
Q03735	P20081
P50102	P38307
P53235	Q05022
Q12476	Q03937
P38719	Q03195
P32490	P47042
P32844	P20457
P39715	P32388
P35719	P32489
O14468	P20438
P25293	P32613
P32769	Q99207
P15646	Q08920
P0CX52	Q06102
Q06488	P39524
Q12024	Q04172
Q12338	P53104
Q12186	P40094
P35727	P34247
P38806	P43573
P25045	P36000
Q12522	P53271
Q12386	P00924
P38860	P53333
P52491	P12684
Q12158	P06634
P33333	P38162
Q03705	P33330
P25301	P33767
P38254	P33749
Q12502	P32610
P12383	P31111
Q12123	P40547
P39715	P41543
Q04228	P40505
P38236	Q03829
Q02950	Q12199
P36048	P0CX56
P36049	Q02771
P53032	P47086
Q06504	Q08956
P09119	P41735
P32912	P46949
Q06168	P36000
P08539	P40061
P39111	P53335
P06779	P53866
P38931	Q01919
P11491	P02992
P38257	P32445
P53043	P47118
P54786	P53201
P23641	P25648
Q12027	P19659
P40362	P32464
P36005	Q06148
P53899	P43563
P36532	P39107
P38798	Q12084
P53875	Q02521
P24384	Q12122
P05318	P47045
P39520	P39929
O13525	P87262
P69851	P22517
P38307	P20438
Q04233	Q02725
P32580	P36527
P36068	P38785
Q12522	P22135
P38204	P53145
P32497	P25644
Q6Q546	P39969
P38634	P41546
Q03161	P38282
P53949	P17106
P00856	P38883
Q02793	Q03792
P18480	Q01454
P19263	P08466
Q04868	P36048
P46983	P10622
P23369	P39998
P26783	Q08491
Q06224	P38786
P32861	P39731
P16474	Q07915
P35734	Q04067
P25649	P53854
P32786	Q04673
P53834	Q04213
Q03195	P40303
P27344	P37299
Q12055	P25626
P36006	P38339
P14904	P32504
Q07362	P53874
P53930	O74700
P38701	P39993
Q03020	P32445
P53189	P33339
Q01926	Q6Q546
Q12285	Q3E7B2
P40303	Q02776
P31412	P20967
P38815	P53911
P29340	Q12175
P32607	Q08179
P32899	P12962
P53148	P39723
P33339	Q02608
Q03533	P0CX24
Q12308	P35732
Q02555	Q12280
P16861	Q07896
Q05543	P53044
P05743	P22204
Q2V2P8	Q07878
P43587	P25558
P41805	P12385
P39723	P20438
Q04373	P04807
P39967	Q06512
P40046	P38210
P35180	Q04659
P38888	P47170
P32341	P54113
P39103	P46995
P32608	Q12298
P21576	Q06213
P05986	P11914
P32529	P32388
P11076	Q06102
P53169	Q08109
P18888	Q08732
P38930	P53735
P41895	P05740
P36095	P20434
P32497	P16370
Q12245	P33339
P25491	P39715
P38427	P48589
P38217	P53163
P32570	Q12158
Q12463	Q02199
Q03048	P06787
P43573	P40096
Q12453	P53246
Q03373	P39946
P53076	P38781
P25337	Q02642
P53924	P53067
Q07878	P36168
P32795	P53038
Q02486	P05739
P39012	P33399
P43564	P89105
P32457	P26321
Q00711	P36528
P12688	Q03406
P20084	P47140
P39676	P35056
Q03388	P38826
P28795	Q02725
P31109	Q12321
Q04225	Q03654
Q03818	P00890
P38701	P34164
P00815	O94742
P43605	P39940
P25385	P32860
Q08754	P32774
P53900	P17119
P56628	P22579
P14681	P32914
P11433	Q08773
Q12522	P04819
P31382	P36527
P45976	P48361
Q12072	P39523
Q12452	P32629
P49017	P40160
P87108	P39718
Q12033	P47051
P39926	P80967
P10869	Q12334
P17123	P38265
P41818	P23724
P27809	P25374
Q12417	P16523
Q01163	P22353
Q04359	P39107
Q03201	P25694
P40422	P00854
P05085	Q02521
Q03785	Q01855
P38110	P25342
P53935	P40992
P48564	Q04894
P36096	P09938
P31382	P36167
P47142	P47075
P38112	Q02805
P41940	P80428
P34217	P18888
P53125	P32494
P41832	P13393
Q05543	Q06511
Q07963	P46988
P38771	Q12338
P15790	P38623
P17890	P32628
P38203	Q04598
Q03020	P40577
P33767	Q03772
P40091	P14682
P34162	P38147
P32914	P32559
P07149	P54005
P38291	P31380
P36224	P50946
P41811	Q12365
P39968	P25299
Q06324	Q12483
P06784	P23644
P53198	P27705
P53691	Q06632
Q04603	P25567
P46948	P38080
P14908	Q3E7Z5
P12612	Q01855
Q99278	P16140
P25569	P22082
P53236	Q00772
P41832	Q02208
P32855	Q06511
P53599	P14680
Q99278	P0C2H8
P22517	P05453
Q12186	Q06834
Q04500	P22204
P22470	P53070
P0CX44	P34252
P36100	Q03010
P46679	P13433
P38263	P89886
Q07528	P32861
Q04964	Q08649
Q00618	Q02875
P50946	P32844
P39015	P14907
Q12188	P39016
P42836	P36146
P04039	P38877
P22276	Q02197
P53145	P25616
P38346	P33755
P47165	P38957
P25582	P38351
Q06834	P38968
P50086	P32776
P10663	P25649
Q08689	Q04341
Q00684	Q06697
Q12211	P40961
Q04264	P36519
P23724	Q00684
P33302	P34758
P38719	P33309
Q03161	Q06324
P14922	Q12084
P29703	Q02457
P34247	Q06623
P40161	P17255
Q08773	P25357
Q02948	P27809
P06168	P38291
P38337	P25451
P36148	P53082
P34758	P53900
Q12415	Q12396
Q07478	P33753
P53843	P38766
P07255	P47049
P29465	P14747
Q01080	P47140
Q02629	P42843
Q12330	Q08204
P23202	P25046
P38236	P41909
P38427	P00360
Q12368	P21192
Q12125	P32604
P33891	P38960
P54113	P12866
P35817	P37366
P53032	P41697
P32899	Q05580
P39076	P32844
Q03153	P38229
P38249	Q02948
Q05543	P00958
P53037	P39521
P0C5N3	P39015
P38863	P50110
P36131	P32828
P22579	P48527
P32447	P50087
Q08951	P32521
P33421	Q02932
P24384	P40361
P40048	P32480
Q07653	P38991
P38742	Q12347
P53248	Q12246
P48363	P31787
P22353	P53893
Q3E7B2	P38700
P32562	P29468
P57743	Q08096
Q06449	Q12395
P41818	Q12754
Q02630	Q06668
P38203	P34761
P38989	P49957
P16451	P40161
P39001	Q02932
P38928	Q07458
P20459	P10961
Q02767	P32344
P36519	P17883
P32361	Q08561
Q02256	Q6Q547
P35184	P32361
P15731	P36167
P13517	Q03630
P53040	P40469
P32897	P46965
P38236	Q12510
P40541	P32913
P33332	P05085
P42846	P52868
P25515	P13574
P49686	P32074
P40991	P53256
P39702	P24279
P32325	P32389
Q04749	P37297
P40073	P61829
P20053	P46678
P29461	P17883
Q06623	Q02948
P47054	P38218
P53305	Q04279
Q12099	P29056
P32617	P53899
Q06142	P25646
P23287	Q12461
Q05040	P08566
P29461	P17890
Q04632	Q12263
P38210	P20095
Q12488	P06101
P54199	P32893
