P48563	P25348
P38304	Q03373
P38991	P36132
Q06675	P36017
P17122	Q03790
P08153	P33298
Q12161	Q99258
P48581	Q06689
P38696	Q06707
Q04969	P34224
P18634	P23293
P53336	Q03430
P39702	P53008
P32617	Q01649
P47024	P38257
Q08229	P39955
P36009	P52891
P16547	P40485
P53866	P57744
P39522	P32504
O14468	P53600
P17890	P53628
P09119	Q12117
P32563	P23202
P32351	P11709
P32493	P35817
P53212	Q04697
P20676	Q05778
P40033	P25693
P07259	P00899
P22213	P49573
P38236	P42945
Q05946	P81450
P53738	P43132
Q08208	Q06512
P38257	P16861
P38788	P35208
P38791	P53311
Q04659	P24482
P22353	P33767
P38121	P54784
P38956	P15873
Q07457	P43561
P53185	P53198
Q04172	P53617
Q06834	P22353
Q00362	P34756
Q08492	P33302
P26570	P38753
Q03390	P10080
Q12046	Q12052
P32799	P40465
P21304	Q06142
P38313	P38781
P41821	Q02554
Q01926	P40358
P40028	P06102
Q12122	P39685
P36068	P40456
Q05791	Q00362
P32368	P07260
P38957	P11433
P53738	P05744
P06779	P30771
P40204	Q12060
Q03162	P28743
P53617	P40537
P27680	Q06707
Q12508	Q05931
P46988	Q12532
Q08932	P39012
P53983	P50087
P32569	P34909
Q12335	P33755
P38991	P38313
P07284	P32585
P40413	P34223
Q00582	P39682
P25584	Q06707
P38786	P38953
P47158	P18562
Q07395	Q12347
P25559	Q03213
Q08235	P32580
O14464	P39875
P49018	P35718
P40096	Q03799
Q12154	P25441
Q12074	P14064
P46674	P10823
Q12342	Q05636
P40054	P32605
P47088	P35193
P40014	P29461
P19956	Q99382
Q06090	P00899
Q07549	P40568
P46989	P42949
Q08689	P49686
P56628	P38615
P38234	P31373
Q02775	P39078
P53044	P32447
P38987	Q02772
P32943	Q12168
P01123	P46655
P07278	P38276
P53299	P01123
P32351	P39969
P00942	P32347
Q3E835	P30902
P53930	P53091
P32641	Q05933
P53834	P20457
P53540	P47017
P53187	Q04279
P25301	P40479
P48363	P24867
Q02889	P07143
Q02206	P15624
P00431	P46995
Q12335	P47103
P27466	P32345
P36068	P38210
Q04368	Q04921
Q04781	P08432
P07260	P36094
P03069	P25039
Q06648	P32911
Q12250	Q04264
P38999	P40339
P33299	Q03944
P47135	P12904
P53212	Q04549
P38809	P53267
P12383	Q12318
P11745	P32432
P26786	P07249
P21304	P54005
P28496	P53068
P36008	P40302
Q12163	P53248
P53250	Q05024
Q04660	Q06628
Q06162	P41810
Q12510	P17891
Q08032	P16862
P21691	Q00246
P24867	P40352
P53974	P22515
Q12004	P14063
Q01939	P39524
P14359	P53742
P53137	Q03818
P26309	P53722
P06780	P38990
P40204	P32364
P53935	Q04748
P22146	P00950
P05317	Q04712
Q03868	P17629
P46988	P36016
P40466	P40046
P53176	Q05776
Q08562	P38352
Q07549	P47167
P25623	P06700
P40518	P0CE41
P32380	P23202
P38165	Q05050
P25555	P32607
P53129	P36095
P20084	P40038
P32939	O14467
P40356	Q00723
P32325	Q04175
P0CX52	P38334
P32457	P28743
P13712	Q05040
P28795	P38784
P53253	P32783
P38346	P22147
P36525	P17065
P24869	P25270
P25579	P33333
Q12311	P53732
P24384	P23287
P36121	Q01560
P87108	P32334
P53045	Q04493
P20049	P36064
P34167	Q05785
P40060	P47079
Q12015	P36148
O75012	P11075
P53193	Q06078
P87108	P38828
P87108	P28791
Q02821	Q06616
P32861	P27476
Q07478	P22141
Q05776	Q12416
Q02647	P42837
P08468	Q03533
Q12149	P53921
Q6WNK7	P42837
P32904	P38637
Q05123	P33441
Q05610	P07252
P35732	P36094
P08518	Q02875
P19263	P48562
P25586	Q07084
P38324	P53305
P49956	P25626
P52918	P40546
P06208	P01123
P38844	P50089
P32491	P38310
P53297	P53212
Q02159	P17967
Q06525	P42943
P00856	P07342
P38996	Q06137
P48412	Q03776
Q03246	P40066
Q99258	P34253
P21306	Q08581
P53256	P15303
P53199	P31111
Q04264	P04801
P53953	Q05080
P38962	Q08491
P53893	P32347
P20486	P22470
P53935	P53901
P40045	P53280
P34162	P50109
Q07845	P32501
P39960	P16474
P32341	P46678
P37296	P32830
Q06678	P40150
P27705	P53193
P32380	Q06263
P53901	P38891
Q07657	Q05946
P16664	Q07821
P38872	P53855
Q12471	P53196
P25293	Q12518
Q12416	P32897
P19073	Q12107
Q99314	P25651
Q08932	P38146
P32345	P42951
P13712	P36533
Q08562	P38084
P46676	Q04149
P38960	P47124
P33203	P22696
Q12318	P04037
P47041	P21951
Q06696	Q05785
P32797	P04819
P17629	P53124
P28834	P17558
P08678	P32368
P32613	Q05933
P26637	P24867
P10622	Q06632
Q02608	P38779
P54784	P47076
P40073	P32379
P32657	P06774
P36054	P32895
P33329	P43609
P53866	P53867
P04385	Q04867
Q05166	P47027
P08468	P43593
P46671	P25039
P31109	Q07800
Q06675	P40565
Q06333	Q04307
Q12522	P53062
P33419	Q12451
Q04183	Q04177
P47017	P21524
P38960	P23202
P38922	P53849
Q04603	P11745
P38810	P38204
Q00764	P53289
P53390	P20436
Q02792	P19524
Q08208	P01123
P32831	P21560
P38861	P32492
P12689	P40079
P11745	Q12186
P22082	P41808
P40348	P25342
P07276	Q04087
P53326	Q03280
P38708	P39012
P35729	P29055
P25586	P40059
P53937	P29468
Q12466	P38630
P38324	P47081
Q08204	Q08032
P25298	Q07913
P19097	P53178
Q12267	P15731
Q12440	P43572
P25605	Q03714
Q02516	P0CX87
P07255	P39926
P53968	P10962
P46951	P53146
P15424	P06102
P32570	P13393
Q12411	P40043
Q07963	P32493
P47041	P47128
P16622	P38153
P07255	P53068
P14907	P32842
Q07913	P50108
Q08886	P40993
Q00711	P43598
P12695	P38352
P14120	P49687
P40314	P20050
P10961	Q06630
P04387	Q06159
P47130	Q12287
Q08491	P08432
Q12263	P32583
Q04372	P38999
P25651	Q02724
Q05931	Q12158
P40185	Q04067
P40036	Q02455
Q04225	P53974
P53248	Q07913
Q06511	P32945
P34237	P00830
P38304	Q04930
P43602	Q05022
P19812	P06786
P29467	P00817
Q08491	P25637
P19736	Q12028
Q03308	P05744
P47135	P38426
Q07533	P53941
P34224	P40961
Q12142	P29703
P50276	Q01919
P40571	Q12411
P28795	Q12208
P40087	Q08412
P13393	P40070
P38241	P07267
P46964	P25339
P06701	P53193
P40059	P53899
Q07921	P39938
P22696	P36132
P06774	P36019
P36525	P35688
P38794	Q03375
P19158	P25646
P16547	Q12106
P28006	P35210
P32336	P89102
P41910	P40010
P46673	P19414
P21243	P32602
P32864	P47088
Q01590	P27466
Q99325	Q06623
P40077	Q04947
P19735	Q3E7A4
P41813	P00044
Q04964	O13297
P40340	P22141
Q12223	P06103
Q06708	P34241
Q02196	P28274
Q03835	P38989
P00924	Q06640
P19263	P53917
Q07418	P26570
P32364	P05739
Q08581	P53924
P25554	P39523
P49955	P16474
P39073	Q03694
P46965	P38753
P43554	P40480
P38080	Q3E830
Q04307	P38304
P53865	P29468
P05318	Q04651
P13902	P12611
P29467	P22211
Q04673	P38811
P19882	P53919
P19524	Q08119
P43605	O14467
P14922	P39108
P53165	Q06624
P56628	P47140
P52286	P53040
P05743	P31382
P40571	P13185
P36126	P38691
P43558	Q12379
Q96VH5	P25558
P33302	P39107
P53736	Q06631
Q03981	Q08438
P48565	P38882
P28791	P20134
P53549	P35187
Q03280	P53549
Q12080	P53298
P33204	P24870
P38328	Q03496
P35732	P34218
P04051	P39078
P16387	P32605
P35208	Q12168
P25554	P53267
P32800	P53254
P34111	Q3E744
P31383	Q06639
P39743	Q12224
Q08109	Q12455
P53942	P32892
P41832	P15180
P33748	P38203
P20438	Q92317
P53628	P07286
P01123	Q04264
P36115	P32915
Q03337	P53115
P38116	Q02772
P19263	Q3E7X9
P39954	Q04632
Q02642	P32601
P11927	P47088
P53235	Q12754
Q08920	P25293
P38866	P04147
P42951	P32565
P40327	P36520
P54790	P43591
P40364	P46985
Q00955	P08524
P38879	P38759
P17122	Q12754
Q12368	P40963
P32892	P40160
P25635	P32486
P39727	Q6Q547
P22203	Q12379
P53736	P39108
P38144	P40505
P42844	P53165
P38825	P25366
Q02159	Q12251
O13563	O14464
Q04053	P36775
P43596	Q05543
P25300	Q12099
P38255	Q06102
P38869	Q02776
P38260	P15367
P36121	P36037
P42836	P48565
P32473	Q12242
P36040	P05626
P47171	P33201
P20795	Q08921
P53901	Q06673
Q00618	P53195
P48559	P40487
P05744	P04385
P41546	Q04172
P32660	P05317
P49960	P40568
Q12692	P47134
P32526	P48363
P53725	P53847
P50945	Q04511
Q08204	Q08886
Q06697	P05986
Q12402	P51998
Q04067	Q08387
Q02260	P40314
P14127	P46151
P11978	Q02647
P33333	P48526
P53309	P38285
P40561	P49723
P38962	P25591
P38828	P21951
P23179	Q06412
Q07844	P54786
P09119	P33299
P38912	P38217
P40343	P25573
P46674	Q12066
P21951	P53163
P53038	Q03782
P36126	P28274
P20457	P38788
P41806	P40558
Q12329	P36527
Q07533	P19262
P53741	Q06411
P46655	Q01448
P11978	P25555
P32793	P40487
P52918	P38112
P40352	P36775
P54861	P38934
Q12349	P52286
P40341	P08539
P32861	Q08622
P32333	Q01476
Q04673	P53093
P42836	Q08144
P48526	P38633
P38798	P53195
P01149	P53951
P33202	P38153
Q12440	P40561
Q07381	Q12080
Q99394	P52286
P07347	P53893
Q12083	Q06336
P25649	P38783
P38193	Q08162
P04456	P14164
P46944	P09232
Q03323	P33204
Q06604	P35127
P00931	P00424
P49723	P40464
P32861	Q08562
P07273	P09733
Q02889	P13259
P53323	P25294
P41909	P53981
P32873	P34072
Q06680	P38632
P53909	P32832
P38241	P48240
P47089	P36526
P46683	P15367
P36521	P43593
P38748	P47015
P53983	P38207
P08425	P53062
P40851	P34160
Q6Q560	P40477
P22146	Q01722
Q02256	Q12122
Q04341	Q04947
P32797	P38187
Q12220	P35177
P49687	P36090
P16474	Q07623
Q12267	P14741
P35189	P32571
P40087	P11792
P43545	P38879
P53769	D6W196
P05740	P53233
P32873	P31376
P29496	P47134
P48237	P20134
Q02204	P38144
P54999	P06784
P32597	P0C2H8
P43592	P22855
P40325	P34218
P09232	P38700
P23369	P22146
Q04651	Q08444
P12612	P33338
P43594	Q12446
P34077	P32864
Q3E7Y3	Q08689
D6W196	Q03280
P0C5N3	Q08924
P40518	P43612
P43596	P38770
P53108	P40155
Q06389	P36532
P20457	P38819
P11792	P34232
Q04370	P38555
P38700	P33339
P12684	P25616
P32492	P13185
P46677	P50946
P04807	P39735
P32795	P38341
P32565	P32499
P33302	P53253
Q12471	P40457
Q12158	P53917
P32899	Q00362
P33399	Q03246
Q12102	P35203
Q99220	Q03455
P35688	P40457
P32334	P25719
P48559	Q03308
P50101	P53323
Q04177	Q04894
Q99181	P11709
P34226	Q04410
Q12159	P47142
P53883	P53305
P40156	P38615
Q3E705	Q02199
P38768	P38784
Q07807	P39995
P10962	P38792
P32497	P32862
P53921	P17967
P19358	P32787
Q12234	P34218
P38882	P38712
P29461	Q02199
P39083	P47061
P14736	Q06001
P32486	P54787
Q03769	P53032
P32863	P50089
P34160	P29496
P06838	Q05791
P39718	P46964
P40577	P15442
P20795	P07866
Q04477	Q07454
P53286	Q05787
P38991	P04821
P39111	Q12517
P40157	P41911
P32905	P39743
P53091	P15703
Q05778	P40358
P53851	P53239
Q03161	Q99222
P13517	P53549
P40339	P47976
P38175	P53883
Q06339	Q03124
P17121	P38238
Q12330	P38297
Q06671	P32861
Q04177	P40495
P39524	Q06675
P53335	P53233
Q03124	P14693
P35817	P27351
P40491	P33895
Q04226	P53971
P38803	P48525
P35179	Q06162
P00401	Q03694
P69851	P36119
P34223	P53141
P53039	P50101
Q03818	Q06096
Q06449	Q12329
P36070	P22336
P38344	P32571
Q12502	Q12196
P38816	Q06836
P32617	P17123
Q12502	P53733
P38719	P08067
P38819	Q12468
P32367	Q99299
Q05583	P32559
P25302	P16862
P40072	P32608
Q03430	P39875
P38305	P47015
Q03466	Q12223
Q06137	P10849
P43601	P38181
P32799	Q92325
P22276	P53140
P41812	P26793
P25348	Q03338
Q12452	Q07921
Q07845	Q04338
P40054	P38242
P47006	P51998
P32389	P53927
P40565	P32342
P35201	P00044
P33302	P31386
P34909	Q06103
P38208	P43565
P53037	P33448
P34230	Q06169
P40858	Q00772
Q08231	Q07623
P07255	P38111
P41818	P38297
P32349	P08518
P53833	Q06668
Q12019	Q07541
P41735	P38833
P38086	Q12074
P25390	P53318
Q01560	P27801
P40573	Q03407
Q99222	P39717
P41910	P32486
P26755	P36149
P34167	P43561
Q04279	Q12386
P47150	P38041
P38110	P53199
P36024	P38116
P00924	P40061
P50623	P40021
P21951	Q03862
P38705	P42843
Q03957	P40956
P48581	P38344
P04039	P40096
P53326	P53198
P49018	P37838
P38783	Q03687
P40157	P50623
P39015	Q08287
P53973	P40992
P36000	P53930
P38276	P34241
P20676	P53851
P37366	P05737
P07253	Q06512
P53032	P41818
P34244	P22219
Q04493	P32349
P38629	Q06820
P81450	Q04272
Q08886	Q99207
P09436	P38346
Q08977	Q05933
P53233	P00360
P39081	P32829
P14736	Q12297
P38263	P34221
P32897	P25298
P53721	P07248
P43638	Q12468
Q06678	P12689
Q04110	P19659
P40581	P40957
Q99247	P04456
P53070	Q12248
P32344	P53981
P28006	Q06344
Q07980	Q03714
P08518	P32354
P35177	P43558
P38751	Q12349
Q04062	P40070
P32841	P40156
Q12276	Q12136
Q06245	Q04969
Q12451	P38692
Q04599	P25293
P32911	P22804
P41832	Q12349
P53163	P52919
P02992	P07213
P04807	P25441
Q99278	P00899
P40208	P08425
P38819	P14284
P53082	Q12176
Q03406	P36083
P14907	P40975
P38770	Q12335
P34730	Q05942
P14126	P38249
P39073	Q06208
P51534	P47167
P50106	Q07540
P47111	P07261
P36090	P32618
P52918	P53277
P54000	P47061
Q12161	P38886
P45818	P01097
P21242	P14242
P13393	P40064
P39016	P40046
Q12206	P53317
P41901	P53335
P32361	P50086
P33759	Q03769
P36054	P47088
Q08162	P21306
Q06169	P41318
P12753	P07560
P43124	P33338
P43587	P11747
P43535	Q12223
P38074	Q03694
P32347	Q12224
Q99176	P38989
P40030	P43572
P39965	P53253
P40395	P38953
Q06469	P53277
P38912	P23643
P42845	Q04199
P32259	P47089
P26570	Q06625
Q06673	Q08732
P39108	Q08273
P09938	P53235
P38779	P25389
P17255	P04385
P18851	Q03323
P32776	Q12745
P07252	P53233
P53318	P38247
P53550	P21242
P14680	P30775
P40994	P40096
P10862	P28274
P10622	Q04549
P53741	Q03465
P00856	P25039
P38781	P17121
Q12072	P14682
Q03660	P13856
Q05942	P38013
P14291	P31334
P34160	Q12380
Q3E846	P07261
P39735	P00942
P38341	P32793
P38293	P04037
P28778	Q04748
Q06568	P38817
Q03532	P46682
P43618	P40339
Q08278	P20967
P47130	Q12196
P17442	P50874
P09798	P38337
Q04739	P38228
Q03338	Q12522
P38990	P38719
P53863	P06101
Q08689	P36152
P38931	P32558
Q12221	P30902
P0C0V8	P49018
P47111	P39729
P40453	P40344
P38903	P38859
Q08977	P41818
P33304	Q05930
P35056	P47015
P25515	Q02932
Q12297	P39015
P41057	Q12134
P38144	Q08962
Q08226	P14907
P36159	P32862
P38182	P10664
P53313	P43588
P53951	P36096
P40505	P06208
P40970	Q01080
P53236	Q00245
Q04341	P35688
Q04437	P06106
P11325	P32606
P46946	Q06506
P53148	P53965
P24783	P04807
Q05021	P07236
Q06709	Q12159
Q01649	P32344
Q08561	P38968
P38822	Q04264
Q12149	P23638
P10663	P29340
Q08873	P40565
Q12499	P41833
Q06680	Q06511
P16649	P07274
Q12223	P35056
Q6Q547	Q12499
P07262	Q12368
P38860	P40080
P32905	P10862
Q02771	P39998
P00360	P43568
Q12377	P0CY09
P07253	P18494
Q01939	Q05166
P38630	P38111
Q01448	P36526
P54074	P38850
P52917	Q03323
P37296	Q12156
P10869	P48569
P39923	P38182
P32790	P38930
Q01855	Q03776
P40318	Q12298
P10363	Q06412
Q12466	P28000
P25045	Q08492
Q12345	P27796
P24867	P47160
P32526	P39083
Q03768	P38822
Q12745	Q3E7C1
Q3E846	P40468
Q06697	P46988
Q12406	Q01560
P38853	Q08622
P32610	Q04922
P00330	P50113
P22007	P53278
P25299	Q06412
P53309	P32873
P53093	P53833
P38251	P40020
P32660	Q05580
P38770	P25368
P32841	P37296
P43568	P38691
P0CY09	P52490
P38249	P07267
P39928	Q03940
Q3E6R5	P32463
P07266	P40080
P53840	P21304
Q3E7B6	Q99394
P36057	Q02721
P38120	Q08886
P38112	P08964
Q06213	Q07657
P38861	P40340
Q04437	P32773
Q03429	Q07418
P10961	Q02630
P34166	P00445
P33323	P38759
P33417	Q04228
Q08229	Q2V2P8
P12688	P27636
Q12016	P53094
P38708	Q07913
P13902	P40366
P15705	Q08601
Q08550	P07347
P35203	P32458
P38816	P46946
P32389	Q12488
P10662	P38789
P00572	P40530
Q08144	P53297
P25342	P81451
Q06001	Q12241
P38251	Q12333
P24719	P53633
Q08176	P54860
P36016	Q08162
P18888	P38862
Q00618	Q03976
P38927	Q06604
P36167	P10849
P53082	P38701
P11433	Q06819
P27801	P33201
P12866	P47136
P38629	P48360
P14736	P36527
P47076	P40010
Q03361	P36132
P19736	P39108
P34244	Q03735
Q12082	P17076
P40094	P38785
P40357	P11747
P34247	Q00245
Q05949	Q03954
P53722	Q07963
Q06096	Q06504
P38862	Q12107
P38882	Q12134
Q03920	O13525
Q00578	P34166
P43579	P38708
P36122	P23585
P24869	P38989
P25579	Q12380
Q07821	P14306
P34247	Q07807
P14063	P32445
P41896	P41813
P07834	P06242
Q07913	P53725
P25646	P28320
Q00578	P47171
P07256	P38273
O14468	P40043
P32842	P40091
P33331	Q99222
P48606	P06100
P34087	Q03768
Q03707	P27801
Q12402	Q06106
P39923	P41896
Q06163	P46951
P43682	P54790
P53317	P26755
P39008	P32613
Q08179	Q08553
Q08235	Q12027
P36019	P39706
Q06137	P22354
P08525	P53909
Q08817	P47076
P40518	P25374
Q05123	P38886
P32829	P46957
P32389	Q04007
P19516	P21304
Q03125	P28743
P41800	P50874
Q06385	P38810
P52919	P32583
P39076	P34224
P21524	P33448
Q12495	P38127
P43605	Q12168
P89105	P38218
P40486	P48527
P53248	Q99207
P32849	P40106
P47128	Q03532
Q07914	P39104
Q01454	Q12234
P47135	Q08484
P48836	Q02794
Q12071	Q12241
P33755	P23900
P04387	P48582
Q12321	P53924
Q06580	P38823
P35197	Q03957
Q12030	P32486
P22082	P40457
