P22438	P32461
P38781	Q04007
P38200	P53163
P32641	P39984
P39943	Q05610
Q07938	Q08485
P07213	P36126
P10963	P38996
P36516	Q03630
Q8TGU1	P06182
Q08001	Q12016
Q02786	Q12042
P38719	P40010
Q02721	P38994
Q99181	P36014
P47146	P06786
P38860	P53832
Q07660	Q07834
P35202	Q3E7B2
P48526	P25377
P0C5R9	O13512
Q08971	P27929
P53234	P21705
P50085	P40994
P39976	P05744
P48365	Q08649
P47049	P04046
P08638	Q05549
Q12464	P40496
P36139	P31373
P38862	Q12100
P11927	P05749
P46988	Q05900
P38849	P36039
P47145	P25617
Q12230	Q03533
P32893	Q06266
P20435	P22543
P38274	P40351
P53744	Q05050
P40578	P08458
P38700	Q02046
Q3E756	P38720
Q12186	Q12400
Q00772	P38197
P38146	Q04711
P14742	P36170
P05374	P38755
P46681	P35178
P22007	Q03406
Q08553	P40554
P53201	P47164
P09457	P39998
P53314	P47104
Q2V2P4	P46946
Q05533	P23292
P07260	P10863
P18898	P47053
Q12071	P40019
P38115	Q08226
P38635	P25371
P38804	P32386
P38957	Q12531
P50276	P53253
P32861	Q02939
Q12446	P38850
P53920	P32605
P25578	P06778
Q04048	Q04233
P32833	Q06409
P40455	P60010
P40455	P01094
P47019	Q12276
P36118	P20050
Q8TGS9	P21375
P36027	P38195
P32522	P47140
P40160	Q03723
P38790	P53961
P14242	P40505
P53158	P38222
Q07930	Q04431
P47053	Q07738
P25659	P40511
P52593	Q12331
P14120	Q8TGT3
Q08651	Q12489
Q07800	Q12262
P32323	P53632
Q12277	Q3E823
P53540	P38631
P40328	P38817
P53742	P32389
P57744	P40566
P38746	P36083
P07244	Q12050
P53732	Q05123
Q08955	P11154
Q07793	P34224
P37267	P53170
Q05473	Q04329
P20447	P53172
P38903	P32800
P13711	P34163
P05739	P36017
Q04401	Q03667
P53724	P36112
P32617	P40094
Q08110	P36166
P40450	Q05933
Q03175	P25627
P38072	P54791
P20676	P22434
P36024	P49723
Q02831	P32803
P39016	P40962
P53047	P42942
P50275	P43556
O13516	P38805
P54115	Q12209
P38848	P39924
Q06673	Q02554
P09436	P21825
P53923	P47074
P50085	P40583
Q12006	P38280
P27929	P40105
Q06623	Q12746
P00942	Q08299
P42843	P38902
P07249	P47183
P38825	P38351
P38739	P27796
Q05471	P42841
P46985	P50873
P38732	P53168
Q3E786	P40046
P06701	Q06703
Q07895	P53320
P36033	Q02724
P32379	P22855
P32500	Q12515
Q2V2Q1	Q3E796
P38282	P10963
P23255	P22211
P20459	Q08299
P47032	P40078
P26755	P89113
Q08909	Q12093
P35734	P38181
P53851	P39685
Q03559	P08640
P53910	P32347
P53898	Q02888
P36164	Q12046
Q08226	Q12016
P39968	Q9P305
P39969	P43549
P23624	P32867
Q03370	P38759
Q12350	P32867
P23833	P38342
P53206	Q06563
Q08448	P50896
Q04526	Q03770
P53262	Q01896
P53283	Q07825
Q08732	P53227
P38123	P38287
Q05031	P17261
P32656	O74700
P38250	P50264
P39730	Q12245
P00427	P38732
P39515	Q02354
P36002	Q06339
P53066	P54114
Q99190	P0C2H8
P00635	Q3E784
P38355	Q8J0M4
P49573	P47141
P39720	Q06836
P18963	Q02866
P14359	Q03920
P22580	P06634
Q12000	P36149
P39729	P21147
P24309	P40515
Q02457	Q02776
P25573	P11325
Q02950	P36040
Q12525	Q3E731
P38111	P50112
P40958	P09880
P53622	P53930
Q12150	P47103
P42845	P53242
P10663	P19145
P38281	Q12297
P38790	Q02803
Q04013	Q04734
P32461	Q12271
P25046	Q08492
Q06440	P03965
P08417	P32502
P42835	Q06063
P20606	Q04673
P38307	P10961
P53741	P38152
P40992	Q04338
P53267	P40961
P48559	Q08912
P53920	P47130
P33296	Q08972
P38281	P53148
Q12003	P47146
P33199	P40549
P53183	P54787
P00950	Q05021
P23748	P39938
P36004	P53834
P40484	P40571
P27697	Q03786
Q02864	P38555
P38222	P40572
P48235	Q03529
Q12347	P12695
Q12502	Q12338
P36103	P33400
P38781	Q02776
P39732	Q3E7B4
Q12523	P18239
P53264	Q92392
P47149	P40451
P53731	P22943
Q9URQ3	P26321
Q08748	P40360
P35497	P40214
P53327	P40034
Q05648	P38123
P43535	P25693
Q12465	Q99359
P39105	Q03612
P20435	P40039
P19880	P05375
Q12499	P10870
P50086	P38304
Q05827	Q04066
P30656	P53720
Q12431	P35177
Q08955	Q12461
P25637	P0C2J0
P32606	Q3E737
P38845	P12611
P36034	P32626
Q12247	P40052
Q12367	P43682
P32452	P15938
Q04511	Q00816
P36056	Q9ZZX0
Q08281	Q06328
P06367	Q12272
P40485	P22224
P28817	Q06648
P33313	P38280
P38324	P23797
P50095	P32864
Q03764	Q08977
Q08218	Q07788
P52553	Q12017
P47153	P32317
Q08964	P38788
P21192	P53044
P10659	P40556
P38985	P35178
Q06596	P39000
Q3E7Z9	P53944
P04819	P04802
Q12224	Q3E736
Q04383	P53134
P47069	P16649
Q04806	Q04401
Q03652	P38170
P53920	P53939
P13186	P32945
P28519	P39727
P50105	P33400
Q08774	P01119
P53734	Q06058
Q05471	P00128
P34161	Q07688
Q04018	P40008
P46997	Q03308
P11938	P39012
P13382	Q92328
Q04689	P36086
Q04004	P32264
P38921	Q03036
P40538	P40483
P38200	O13539
P53080	P32478
P25626	Q04600
P32463	Q03262
Q12406	P29029
P48445	Q08923
P46993	P31539
Q3E7Z4	P28584
P53038	Q03446
P40464	P40204
P40505	P53074
P38115	Q12395
P17505	P48439
P38239	P50945
P14540	P48237
P41733	P32318
P53090	P36069
Q06628	P53882
Q02209	P39704
Q03433	P38304
P14693	P08067
Q03434	P25378
P36110	Q06505
P11075	P51996
P38125	P06169
Q02773	P50861
Q03125	P38994
Q08232	P40045
P07266	Q08215
Q05123	Q07457
P16467	P40519
P40562	P12887
Q06833	P53865
P47125	P39991
P53861	P46678
P38715	P50082
Q05543	P29952
P32336	P53077
Q03525	P38777
P47123	Q12109
P12383	O13559
P21190	Q12490
P38852	Q00362
P32357	P25370
P38137	P04050
P39875	P36062
Q06678	P87262
P53915	P47166
P00410	P39529
Q04814	P26188
P53304	P35196
P40100	P34247
P53725	P36024
P47083	P0C2J1
P36159	Q06677
Q04562	P42944
P53129	P32461
P05749	P38746
Q08965	P29478
P87275	P36013
O13525	P47120
Q03441	Q06188
P53096	P38826
P47112	P53170
P32831	P32379
P53921	P38293
Q07350	P32337
Q03434	Q12457
Q12459	P40004
P38355	P53899
P19807	P37291
P17121	P23493
Q04264	Q05584
P32621	Q12335
P37302	P38337
P38316	P53378
P47147	Q3E7Y6
Q06409	P49723
Q01163	P38187
Q99312	Q01976
P89886	P53327
P35718	Q03976
P32568	P38124
P33442	P0C0W1
P15442	P53941
P53168	P21951
P06780	P37302
Q12509	P05319
P40079	Q3E823
P41835	P32604
Q06132	Q06628
Q04697	P21269
P34250	Q08110
P40085	Q08777
P04046	Q05881
P19263	P53727
P32803	Q12049
Q04585	P38250
Q04806	Q3E747
P22943	P27825
P52490	Q08743
O14467	Q99287
P53907	P50873
P38816	Q07844
O13563	P38310
Q03162	Q07381
P53865	P38298
P53872	Q12441
P38860	P47133
P28791	P25040
P23493	P36056
Q05863	Q03691
P19956	P50109
P12962	P38960
Q12518	Q06504
P40075	P40014
P09232	P45976
P53144	P05743
Q02201	P12954
P53898	P46973
P41939	P32564
Q08490	P53172
P25659	Q07074
P32487	P25375
P38696	P11433
P36094	P25349
P06776	P28005
Q03433	P14736
P47138	P38228
P38825	P33303
P33339	P22148
P38196	P53154
Q08204	P14306
P33331	P53604
P32657	P52923
P22289	P36035
P40422	P43609
Q04902	Q08651
P35735	Q03441
P53090	P32858
P26754	P53389
P47822	Q08702
P53925	Q04170
P15367	P46943
Q12220	Q12300
P53169	P22141
P41940	Q05919
P53952	P34232
P17123	Q06146
P40487	P38112
Q05498	Q03705
P40546	P42833
P32610	P40076
Q3E7A9	P38200
Q03289	Q04377
Q3E824	Q3E7Y5
Q03067	P15315
P53757	P53301
P40475	P38298
P54113	P48016
P42933	Q06466
P53197	Q12463
P40422	P28707
P53599	P43569
P53437	P25333
P05738	P34226
Q3E764	Q12751
P53769	P28791
P38688	P36534
P25337	P38739
Q12408	Q03446
P32602	P47029
Q12067	P00635
P05748	Q12127
P39538	Q03735
Q06568	P47099
Q03233	P39081
P05373	Q12424
Q06147	P39706
P36534	P46985
P11633	P40327
P26725	P22007
P53630	P36062
P19358	P53883
Q12367	P32798
Q04602	P38889
P51401	P32912
P53881	P40993
Q05541	Q05790
Q08229	Q12029
P40325	P38882
Q03362	P47187
Q06216	P40005
P15624	P54854
P43616	P12687
P53204	P12688
P22943	P30665
P36026	P53081
P36116	Q12350
P54781	Q07879
Q3E828	P36007
P40066	P53438
Q06628	Q08045
P23060	Q12455
P53139	P32911
P53324	P08539
Q04002	P01120
P00560	Q02205
Q02516	P05759
P48237	Q07915
Q04212	Q02873
P09119	Q02721
P36148	P22082
P39969	Q08465
P36023	P39009
Q3E821	P21306
Q03373	P32380
P28834	P40537
P05373	Q03778
Q05648	P43568
P31116	P38164
Q07738	P38954
P49090	P41697
P20049	Q12071
P23796	P13099
P38144	Q03673
Q3E754	P38216
P46973	Q12338
P32842	P22007
Q12039	P00815
P53199	Q03016
P38326	Q02864
P40348	P31787
P07261	P53251
P06101	Q08182
P40366	Q06053
Q12094	P34111
Q12009	P38780
P48365	Q3E7C1
P25351	Q12096
P15807	P06775
Q12034	P38738
P53437	Q04898
Q12464	Q99303
P38305	P32791
Q06411	P32633
P32432	Q12340
P23900	P38844
P42223	P07274
P22696	P16451
P30775	Q12348
P41909	P16550
P38355	Q04533
Q06200	P39979
Q03776	Q02772
Q99369	P41817
Q04898	P38248
P25576	P53053
P47131	Q06168
P53224	P0CD91
Q3E7A3	Q12753
Q99394	P42942
Q04471	P42939
P38758	P38293
Q05670	Q03705
P40086	P15367
P37262	O13587
P50076	Q12250
P12866	Q12745
P19158	Q07655
Q08096	P19358
P40091	Q04493
P09232	P42841
P17883	P53135
Q05584	P00927
P00924	P36053
P27801	Q12098
P38129	P29703
P40010	Q04116
P04386	P40496
Q12208	P43609
P39943	P40021
P22147	Q08278
Q12218	Q07376
P00924	P53058
Q12123	P39929
P53932	P53854
P46973	P38800
Q06549	Q02574
P38791	P38700
P53109	P28777
P38249	Q08641
P22517	P53769
P05759	Q99321
Q04673	P25386
P0CE85	P41903
P27476	P15380
P39974	Q12213
Q04396	P40079
P53876	Q04472
P38771	Q06489
P34251	P53241
Q03798	P33312
Q12102	P10869
P23293	Q04749
P0CE11	Q08223
P10862	P0CF00
Q12429	Q12287
Q04336	P43620
P38248	Q06523
P40018	P40100
P47127	P25582
P0C074	Q12372
P47001	P04807
P40364	P32330
P40078	Q12277
P32904	P19524
P08018	P36034
Q12522	P16661
P40460	P22855
Q2V2Q1	Q12329
P53550	P22336
Q03954	Q00772
P40957	Q08981
Q12013	P35192
P14306	Q03231
P38828	P38891
P32617	Q12507
P19735	P54780
P41057	Q03559
P53067	Q12033
P40507	Q07915
P39939	P52489
Q12118	P47172
P22543	P46987
Q12340	Q03254
P52918	P32381
P43608	Q06706
Q06410	P53242
Q03433	P36130
P47090	Q04458
P48561	P38854
P43637	Q12072
P11792	Q03020
P25572	P52918
P40360	Q99278
P32481	P32568
P21691	P0C5R9
P40021	P04397
P53040	P18411
P53632	P53167
P08638	P38218
Q05021	P38335
P38361	P53953
P38806	Q01560
Q07845	P22133
P36044	P25584
P20840	P53925
P53174	P40104
P38142	P20095
Q04922	Q03214
Q03640	P36115
Q01448	Q12224
P12689	P27476
P0CE68	P32770
P42945	P53631
Q05670	Q05580
P32603	O14467
P32892	P38701
P38235	P53731
P15731	P38987
P47122	Q12297
P54862	P38314
P50896	Q12001
P53299	Q06090
P32906	P38085
P26448	P36086
Q04749	Q04377
P43561	Q04934
P05030	Q12305
Q08749	P33892
P16370	P38714
P38629	P15705
P39720	P32178
Q3E815	Q12316
Q02875	P53314
Q3E7B4	P38230
P17122	Q12433
P52893	Q12690
P27705	P53100
P40534	P36007
P40358	Q05931
Q12232	Q08446
Q12398	P53390
P48567	P53301
P48231	P10962
P39563	Q05543
Q06494	P53119
P40104	P07252
Q04377	P39966
Q07887	P32621
P40491	P32492
P38701	P10663
P11353	Q08926
Q12112	Q04007
P36078	P48234
P21147	P39997
P43568	P40522
P53757	Q03722
P54885	Q06696
P32497	P53097
P11075	P0CH64
Q03880	P53316
Q03690	P22148
P36521	P04821
Q06580	Q07716
P25377	P53427
P07281	P54885
P53749	Q12036
Q06412	Q12321
Q03673	P04840
P53219	P39073
P47069	P16451
Q12259	P34231
Q08045	P11412
P47125	Q12259
P53078	Q04264
P28319	Q04411
P38132	P25451
P36038	P42847
P36016	P38862
P53252	P28743
Q9ZZW7	P19658
Q03532	P38795
P21801	P14680
P53912	P0C2I8
P24719	P38781
P38876	P31374
P38137	P53965
P53091	Q08641
P53203	P40989
P01123	P53140
P38748	P25619
P18408	P04710
P53968	P16521
Q3E830	Q01217
P53949	P38904
P08536	Q07729
P39955	P37020
P43635	Q3E7Z3
P53146	P36135
P36118	Q01560
Q04500	P36032
P48412	P38630
P39728	P22438
P37304	P43585
P39524	P53061
Q04835	O94742
P46985	P35209
P38960	Q08157
P38853	Q06595
Q8TGU8	P52490
P33894	Q3E7Y3
P40475	Q02457
Q12355	Q12185
P53193	P09201
P18852	Q07458
Q12359	Q08438
O14464	P39933
Q08972	P50080
P21957	P41895
Q05468	P47977
P32494	P29539
P47912	P53250
P53978	P42835
Q04272	P40004
P41058	P38779
Q03289	Q12149
P35497	P32602
Q02199	P38855
P29055	P36018
P53982	P38272
P42223	Q07888
P53253	P06844
P06106	P54786
P28627	P32479
P16603	P40347
P46957	P34244
Q12518	Q01766
Q3E7X9	Q12753
P47182	P37370
P25572	Q12672
P35194	Q06139
Q12452	P34226
P53119	P38231
Q12139	P35843
P25502	Q06596
P40850	P38129
P36148	P15442
P53123	P22804
P39933	Q03434
P0CF00	P38824
P00899	Q08968
P36113	P36107
P22543	P25362
Q08232	Q08749
Q12031	P38324
Q03533	P36107
Q07914	P53835
P26449	P53949
P38150	Q04418
P53142	P38835
Q05930	P38958
P47136	P49686
P48239	P46993
Q02805	P06701
Q03177	P28263
P05374	P36040
P14907	Q12161
P08539	P31383
Q06089	P25649
P32795	Q12398
P53891	Q12013
P05317	P46943
Q12138	P41909
Q08975	Q06071
P15873	P25568
P32338	P05317
Q04201	P06779
Q3E842	P32802
Q12038	P53337
P49704	P38889
P47112	P62651
P38013	P53743
P36161	P47043
P32559	P25355
P07560	P22023
Q03769	Q12354
Q05926	P47138
P53604	P38766
P40559	P17122
P25604	P53131
P25303	P53256
P24276	P15801
P53090	P20095
P40850	P35198
P32329	P41696
P53077	P53009
P40157	P32772
P38142	P10964
P53010	Q06245
P33296	P00854
Q12048	P36224
Q99332	P43609
P40544	D6W196
P38222	Q03533
Q06328	Q04033
P14736	P38213
P38628	Q12309
P53719	Q04675
P89886	Q06390
P40992	P32323
P53173	P32353
P17695	P19073
P42943	Q01590
P46995	P36528
Q04477	P0CF16
P47039	Q04608
Q04991	P40523
P52911	P53388
Q12244	Q06010
P30657	P05318
Q12468	P40160
P32604	Q99231
P54858	Q04751
P53744	P38318
P32585	P25808
P22035	P02293
P22108	Q08650
Q03533	Q05549
P18496	Q9URQ3
Q08227	P38819
P38799	P53187
P53060	P47143
P53179	P40052
P40354	Q02326
P25358	P38705
P38333	P11792
P85052	P51996
P38993	P32499
P38114	P0C2H9
P25368	P39113
Q03759	P40217
Q04806	P32489
P53909	P53975
Q07887	P32893
Q05863	Q02203
P48743	Q07500
Q3E846	P39988
P27705	P39996
P38892	P40548
P0C2J0	P38835
Q06705	P48558
P16474	P43612
P32629	Q12096
Q99297	Q06089
Q04500	P38298
Q12405	P32316
Q06469	P53082
P47089	P53916
Q99296	Q08926
P52910	P30606
P26783	P47044
P25384	P04456
Q8TGM6	P32435
Q02753	P0CD91
P12683	Q07821
P09937	Q08754
Q12219	Q04516
Q02770	P16550
Q12276	Q3E7Z8
P0C271	P46950
P38157	P38242
P53318	P40037
Q05497	P40505
P09950	P38193
P46947	P38042
Q12286	Q12171
Q04301	Q99382
Q03323	Q04083
P47166	Q03323
P24814	Q08295
P05745	P46949
Q99316	P53941
Q08929	P51601
P47015	P29509
P32789	P32361
P0CE11	P32451
P39535	P40459
Q06346	P50084
P06779	P53330
P23250	P38088
Q12412	Q06170
P40562	P54861
P38219	P32801
P38620	P35172
P53313	P39984
Q12239	Q02821
P41058	P32502
P53728	P48563
Q12405	P32493
P38282	P40570
P51401	P33399
Q12155	P35844
Q6Q547	Q08964
P23833	Q12114
P51601	P53078
P52910	P40493
Q12255	P40515
P36075	P38205
P47114	P47181
P0C2I3	P15274
P46676	P40414
P15303	Q06639
Q08176	P38854
P53333	P38165
P38085	Q12524
Q92325	Q03973
P07272	Q04429
Q06822	P21242
Q05790	P36016
Q02555	Q99359
Q01476	Q08924
Q12493	P0C2H7
P19158	Q12425
P53628	P00044
P42846	P40076
P53437	P38967
P34231	Q03125
P27796	P40015
P53824	P38829
P38836	Q06178
P35056	P24384
Q07451	P53378
P15380	Q07660
Q04052	P0CF19
Q99325	P35207
P53629	P33753
P25644	P53184
P40968	P25582
Q03323	P38822
P18759	P41930
P43564	P40994
P0CX09	P53209
P38222	Q05635
P10834	Q3E7B3
Q8TGT7	Q3E815
Q99210	P17065
Q12083	P39083
P07884	P40359
Q02883	P47150
Q03898	P53043
P53976	P38759
P48362	Q12438
P03965	Q12059
P07236	Q08023
Q08108	P53840
P27697	P13434
Q00772	P14843
Q12347	Q12032
P13483	P29496
P48837	P40486
P46679	Q07914
P38863	P46367
P38142	Q06108
Q07807	P36010
P38431	P14904
P0CH64	Q04049
P40994	P53259
P40055	Q04740
P39079	P32563
P21269	P39526
P14066	P32769
P32571	P05375
P38253	P40500
P39965	P32803
P43607	Q00873
P12688	Q99222
Q04734	P40156
P20795	P28777
P53331	P16140
Q06321	P38954
P36059	P07390
P09032	P17883
P53855	P53250
Q08816	P47040
P43620	P53843
P25593	Q12199
Q06479	P32912
P11325	P48362
Q08920	P40061
P40985	Q03465
Q08693	P39010
P40169	P32602
P28495	Q08748
Q12460	P47030
P43603	P06778
P15180	Q01662
P20052	Q3E829
P14682	P46958
Q2V2P9	P38998
Q02630	Q06251
Q12000	Q12217
P32915	P50088
P42951	Q3E825
P47166	Q08023
P38765	P36517
Q06604	P25382
P38070	Q12125
P16622	Q08162
Q03785	Q06199
P32493	P32591
Q12457	Q06708
P25613	Q06168
P34078	P0CI67
P39078	P28627
P07276	Q01163
P33311	P32467
Q03497	P25378
P34760	Q03579
Q92393	P36046
P53242	P15202
P12887	Q04430
Q12510	P47146
Q06010	P47049
P40106	P38207
P39944	P47058
Q04439	P46784
Q3E742	P40956
P32357	P05085
Q03088	P32798
Q04924	P40048
P38968	P00360
P07283	P38430
P41909	P33750
P06784	Q08622
P38884	P40342
P00724	P53289
P40340	P12866
Q99278	P38720
P41821	P32621
P47088	Q12181
P40478	P46947
P53179	P53881
Q04067	P39531
P06197	P40344
P38208	Q12142
Q03233	P29461
Q03629	P22035
P33300	Q12206
P38085	Q3E742
P25365	Q12280
P39109	Q2V2Q1
P36102	P54862
P53189	P33893
P32614	P25043
P19955	Q12242
P23201	P53166
P33332	P42836
P53628	Q01662
P38144	P04173
P20447	P36160
P23638	P11745
P53047	P14736
P42941	P32641
Q04689	P0C5R9
P53212	P32583
P34228	P50861
P46944	P40217
P53923	P00359
P53335	P0C2H9
P47125	P38148
P52290	Q3E7Z3
P17629	Q08496
Q01389	P32804
Q12168	Q99278
P18634	P53317
P34218	P29366
P53322	P41733
P36049	P21951
P38790	P28743
P10823	Q07821
P38968	P23561
P0C0W1	P11325
P32178	Q08952
P39552	P43634
Q03941	Q01662
P53397	P34251
P09435	Q03482
P47123	P36160
P50080	Q03900
P39076	Q05611
P38234	P28241
P13483	P53281
P38795	P46678
P53090	P35734
P18900	P20457
Q3E7Y5	P38907
Q04773	P32495
P40450	P36132
P53285	P53198
Q02554	Q92316
P21538	P06783
Q04673	P32342
P39678	P53037
Q04458	P47023
Q05543	P38244
P53852	P41807
P42935	Q08972
P40085	Q07923
P04046	P38996
P53140	Q08909
P14907	P39013
P38181	P18480
P17423	P12612
P42073	P52871
Q04598	P33304
Q08693	Q02354
P40354	P50105
P39978	P53068
P38776	P46678
Q04773	Q06449
P40457	Q06168
P25374	Q12359
P40530	Q05583
P21560	P53344
Q05900	Q00416
P11491	P32805
P32569	P0C0W1
Q12079	P81449
Q2V2P7	Q08245
P25366	Q12754
P37296	Q8TGT4
P25443	P07260
Q06593	Q12239
P38863	Q05931
Q07993	P22354
P12695	P38795
P31376	Q07418
P25558	P04817
Q99385	P25390
P35192	Q08645
P07257	P53239
P53070	P32915
P47005	P38253
P53598	Q12432
Q9URQ5	P53254
Q9ZZX1	P50874
P09959	P35727
P38616	P40209
P48015	Q03730
P47089	P32600
Q12454	Q06177
P32449	P39986
P27616	Q04067
P18900	P17967
P16467	Q02785
P38620	P09064
P00128	Q3E829
P05626	Q06580
Q04706	Q05902
P53200	P53082
Q07442	P17261
P38289	P54783
Q12128	P38254
P48836	P08004
Q08225	Q12392
Q04347	P38625
Q3E767	P25565
P53953	P21306
P41816	Q02598
P43570	P23500
Q12427	P39523
Q86ZR7	Q05934
Q12377	Q06821
P36081	P50875
P80667	P53908
P32608	P36123
P38115	Q03497
P41903	Q12400
Q8TGU5	Q12480
P39971	Q06568
P40564	P32381
P40455	P47139
P51601	P38166
Q03631	Q12395
P38722	P10566
Q03823	P38338
Q04934	P53507
P38773	P39542
Q04172	P39076
Q06137	P00890
P39111	P38866
P13090	P20457
Q06835	P25380
P15646	P25038
Q04779	P47096
P40343	Q07500
P36159	P25454
P38820	Q08226
Q05775	P40509
Q03880	P32378
Q12496	Q12020
P48836	P34162
P87275	P49090
P43619	P05740
P25332	P22138
P06781	P38993
P39081	Q01217
Q02820	Q06091
Q00539	Q12128
P32354	P10591
P53336	P47977
P33122	P53277
Q05636	P20795
Q03306	P14242
P36531	Q12486
P39103	P02992
P39961	P07703
P40462	Q08144
Q08229	P30620
P38073	P12685
P38210	Q99216
Q04116	Q12194
P40486	P07236
P38042	P13130
P38590	P38145
P32803	Q12495
P18961	Q04599
P50094	P53343
P39522	P38860
P38358	P38814
Q07824	P17064
Q08925	P53832
P13663	P43548
P32527	Q03722
Q06346	P34220
Q06616	P39960
Q3E7Z5	P53935
Q99222	Q02100
Q92392	Q06324
P53196	P28742
P38352	P33753
P00950	Q04172
Q12151	P19073
P26309	P38788
P14741	P34760
P20606	P47100
P38755	P38256
P32463	P30605
P38842	P38263
P34077	P25353
Q03465	Q2V2P8
Q12114	P16370
P39103	P40029
P48238	P36022
P38351	Q06682
Q05567	Q12171
P17558	P53538
P25353	Q12518
P39523	P25565
P41819	P41546
P41543	Q08959
P49435	P35844
Q12102	P34111
Q07362	P38744
P38790	P53214
P40343	Q07527
P14066	Q3E791
Q05580	P40970
P34218	Q06595
P38835	P39743
Q02046	P53823
P42938	Q06159
P46972	P25299
P36112	P0C2I5
P38815	P38278
P01098	Q12155
Q02939	P40893
P40005	P38737
Q06139	P32502
P11154	P53191
P47137	Q08202
P46946	P33201
P32599	Q3E7X8
P32445	P20606
P38206	P39936
Q08282	Q06631
P25332	P38828
Q08471	P38145
P39000	Q06567
P53298	P28003
P43124	P32389
Q12509	P32526
P49704	P36039
P06106	P46963
P40013	D6VTK4
P00427	P53583
P38318	P36138
Q08742	Q06147
Q12179	P38170
Q12213	Q05580
P32794	Q08416
P22204	Q06205
P22217	P32340
P40339	Q08887
P33894	P32499
P33122	Q12404
