Q8IYU2	Q9UL45
P09211	Q9BSU1
P40189	Q9Y6I4
P17987	Q8TAA3
P26006	Q96L73
Q9Y222	Q9NZJ0
Q9UNP9	P43489
Q13976	Q8N3I7
Q5VYV7	Q2T9J0
Q5JSH3	Q09161
Q9H6L2	Q69YH5
Q6P2C8	Q8TEP8
Q86UP2	Q15428
Q99961	Q9Y2D8
Q00994	O43172
Q06187	Q9UF11
Q13098	P04180
Q9NX63	Q99933
Q8NHG7	Q96NN9
Q9UIF3	O14976
Q15437	Q8IUX1
Q8WV92	P17342
Q9NQZ8	Q9NRP4
P10912	Q9NR77
Q9NTI5	Q49AN0
Q8TD31	Q9HCN3
P78324	P16871
P17482	Q96MW1
P27449	Q9NZM5
O15273	Q8N9I9
P78545	Q92989
Q9BZD4	Q9BQG2
O15209	P07288
Q8N0X7	P42857
Q9NRR5	Q92805
Q02446	Q9ULU4
P05413	O43157
O95571	A8K0Z3
O60291	Q8IYJ3
P35212	P05154
P11308	Q8N4N3
Q8WTV1	O43318
O94842	Q2TAC2
Q9Y5K8	Q0JRZ9
Q14582	Q9BTV4
P20823	Q99801
P52945	Q96M94
P37235	Q9Y282
Q02447	P22314
Q5BN46	Q92974
Q9UHV2	Q6P3S6
Q14094	Q9P1Z2
P10747	Q9UGN5
Q9UBZ9	Q8WY64
O43818	Q96G74
Q9BSJ2	Q7L804
O60921	P35227
O60942	P06454
Q9NR46	P32780
Q13098	O00635
Q9NXZ2	Q6ZSY5
P40189	P56279
O75643	Q96FC7
Q96B02	A0PJW6
P62308	P82930
O76071	Q9NZ43
P27824	Q6VVB1
Q8N1E6	Q5T7P8
Q8WUB2	Q9UL15
Q92466	Q8WVD3
Q96Q77	P62701
O60508	Q9NS69
Q9P0M2	P17480
P62993	Q15788
Q12891	O00206
Q13485	Q15334
P21452	Q9HBD1
Q5T5D7	Q02930
P19532	Q5BN46
Q8IWW6	O94875
P42574	P78527
P0C7T5	Q07817
Q15366	Q9BW04
O60313	Q8NAP3
Q6AHZ1	Q92794
Q6PGQ7	Q96PY6
Q96F46	P85299
P29475	Q9NQC8
Q9Y5Q9	Q13636
P40306	Q6VVB1
Q5T7P8	P23497
Q9NQR1	Q99798
Q9H0E9	P13501
P13807	Q5T7W0
Q14106	Q8N1F7
O14727	Q9Y586
Q14896	O75152
Q9UH99	Q03518
Q8WXG8	Q9Y343
Q2I0M5	Q9NQ92
P28360	P14868
Q5EBL8	Q9UBU8
P46527	P01106
Q96SL4	Q02241
Q96CS2	Q9UBQ0
O43264	Q12879
Q9UI10	Q9C005
Q8N5R6	Q9BS16
P02786	Q92538
O00754	Q9BQA9
Q14139	P43119
Q96SD1	Q92878
Q9Y448	O75122
Q9NY99	Q8NFD5
P07858	Q9P2H3
O14662	Q6P9H4
P10275	Q92845
Q96RF0	P00558
P31323	P53621
P21964	Q8N302
Q9BZ67	Q9UPY3
Q8IU60	Q86X27
P19338	P09172
P48556	P16591
Q05516	Q17RB8
P07737	Q8TCG1
Q9C0H5	P49715
Q14896	Q9P0I2
Q96CA5	O76081
Q92552	P02489
Q9H8V3	Q05195
Q13241	P55265
Q9NRY6	Q9NQU5
Q8WW12	O95382
Q9ULW0	P04080
Q03933	Q9NQZ6
P27695	Q8N8D1
Q6EEV4	Q9H4H8
P48357	A8MPX8
Q9BXH1	Q8WUZ0
Q96RU3	P12524
Q9UBW7	P54257
Q9BVC3	P02753
Q9P1Z2	Q9NZ09
Q9BVG3	Q9UNS2
Q9NWF9	Q96DZ5
Q9BSM1	O43298
P09564	Q96Q40
P14921	Q9UBD5
Q504Q3	Q13131
P53365	Q7Z569
Q86VQ0	Q86WZ6
Q93050	Q9BVT8
P61925	P51911
Q9BQI3	Q3ZCQ8
P05408	P03950
Q92966	Q9ULA0
Q53GL7	P62945
Q9BY67	P0DPB6
O14893	Q96CD2
Q96S79	Q13232
Q9Y5B9	Q8NCX0
P23760	Q13620
P57723	P12004
P38606	Q6ZNA4
O15042	P29475
Q9NYY8	P55084
Q9H204	Q9BXB4
P33992	P36894
Q86VS3	Q86YJ7
P15498	Q8N5C8
Q7Z589	P53007
O95210	P52565
Q9H081	Q5XUX1
O43768	P05067
Q9NPH3	Q8TDN1
Q8NEM0	O15156
Q6P5X5	Q96HQ2
Q92636	Q9Y230
O14653	Q9UBP0
Q8TCD6	Q6UXN9
Q8NEC5	Q9BZY9
P23443	P63316
Q12830	Q9BXH1
P61962	Q8IU60
O95163	Q9ULD6
O95486	Q13112
O94817	Q8N9N2
Q8TCE6	Q9UDY2
P06396	Q86UW9
Q96CS2	Q9NVX7
Q9UII4	Q8NE01
Q8N2I9	O60573
Q5TEU4	P02511
O00204	O15350
Q16531	Q8IYY4
Q9NZ09	Q96I24
Q92835	Q13156
Q15102	Q7Z6Z7
P14316	Q9UHY8
P27037	Q7L2H7
Q9BSU1	Q9Y6K9
Q7L014	P40937
Q13884	O14980
Q9UNS2	Q13643
P78545	P82979
Q96S79	P14653
Q9HC36	P42081
Q86TM6	Q5T681
Q9NZS9	Q9UBY9
Q70YC5	Q8WZ74
Q99102	Q96CW1
Q9C005	P02549
O95140	Q96I51
O15535	Q9H2A7
P63279	Q9HCK0
Q99683	P53621
Q9H040	Q9UPU9
Q9Y5P3	Q9BRT3
Q9UJW0	P23409
Q9Y4C1	Q9BVS5
O75830	Q13952
Q02040	Q5W0V3
Q9NVN8	Q9P2R7
O75363	Q9UHB4
Q9NZJ0	Q8WV41
P36578	P21452
Q96CW5	Q96Q07
P46940	Q8IYF3
Q01974	P25800
Q96RT8	Q8N9H8
P13349	Q92729
P59998	Q9Y2T2
Q6PH81	P62263
A2A3K4	Q8NB15
O14526	P33991
P12270	Q6PCD5
Q969V5	O14929
Q4G0X9	Q5W0Q7
P62312	Q7Z6G3
Q8IUX8	Q13451
Q9P209	Q9NV79
Q9UGN5	Q9BVW5
Q8N4V1	P50616
Q8N6Y0	Q9H410
Q02410	Q14CS0
Q9UJQ4	P04114
P48146	P38606
P48995	P30622
Q9UIG0	P13284
O14879	P21860
O75056	O60683
O43586	Q9UBB9
Q13371	Q96G21
Q969V4	O94941
P17658	Q9NS64
O60711	P23508
Q92900	Q9P0U3
P18507	Q9UKS7
Q99961	Q99102
O00560	P35658
O60861	O95971
Q6ZSG1	P13726
Q15642	P11926
Q7LBR1	P05549
Q9P2W1	Q2M3C6
Q9BV19	P02511
O95905	P51991
Q9BVC4	Q08211
Q14508	Q8NFG4
Q04912	P49815
O96014	O60231
Q8NA72	P15880
Q9UKL0	P12757
O15417	Q9P1Z2
A8MT69	P43320
Q03468	O96017
Q9H0E9	Q8N0X7
O95714	Q9NTX7
O60518	Q08945
Q9P2A4	Q8TEB9
Q9P2W3	Q8TEB1
Q6UXX9	P23258
Q13287	Q8TEY7
Q96KM6	Q13432
Q9UIF9	P17987
Q8N448	Q14168
Q9BT92	O14802
O75787	O60673
P10909	Q7L190
Q86VX2	Q8N720
P05107	Q96II8
Q8NBW4	Q13351
Q8N4J0	P47974
P43897	Q9UGJ0
P54727	Q9Y3B6
Q92750	O00165
O60741	P14854
P49454	P78317
P25208	Q96PU4
Q9BSR8	Q8N5M9
O94952	Q96EN9
Q17R98	Q8TD31
Q8NHU6	Q9UNH6
O95363	Q99436
Q9P2R3	Q96BZ8
O15111	Q99523
O95905	P14543
Q13098	Q9BT73
Q9UGI8	Q8IWX8
Q8IXM2	Q9BW11
P51784	Q96RQ1
Q15650	Q8TBZ8
Q68CP9	Q8WV22
Q14257	P43155
Q92990	Q86SZ2
Q96D03	Q8IW45
Q14847	Q9NX58
Q01831	Q8TBZ3
Q9H3Z4	Q05586
P49418	Q9H175
O95365	Q9P0P0
P62310	Q9UQ90
O75534	Q96FZ7
P46531	Q92564
Q9H410	P00750
O00244	Q3SYG4
Q96JB2	P42568
Q8NC24	Q92570
Q9NPJ6	P34925
Q14185	Q9UKW4
P19367	Q9P2K2
P55197	O15482
Q9H3R5	Q02447
O95433	Q10567
Q9Y6W5	P16144
Q08495	Q06418
Q03252	Q12778
Q13227	Q9BVC4
P45985	Q6IN84
Q8NI60	Q9HCJ0
P26992	Q6PF18
Q9H0I2	P32942
Q9UQ13	Q53HC0
P42575	Q8NHQ1
P51787	Q7L5N1
O75444	P51808
P21246	P31323
O94875	Q96KC8
Q9Y680	O15085
Q9UPN6	Q9GZX6
O14490	Q9UG01
Q07654	Q96GX1
Q5JR59	O00629
Q9NTJ5	Q16611
P01308	Q96MN5
P62701	Q9NWK9
P22234	Q96KM6
Q13435	Q96HA1
Q9ULX3	P14406
Q96EF0	P49754
Q9H9S0	Q9H2H8
Q96JM3	O43852
Q9Y6J9	Q8N1S5
Q9BW04	Q4G148
Q13620	Q8WXH5
O15143	O95295
Q8IYY4	Q6P1J9
O96017	Q14587
P29323	P62917
Q96T58	Q9BTK6
Q9NTG7	O95947
Q9HC36	P55089
Q13501	Q9NPD3
Q9BPX1	P62312
Q9BVK8	Q7Z2W9
Q96A47	Q9BUL8
O95671	Q5PSV4
Q02297	Q9NTX7
O75161	P06850
Q8NBI2	Q8IWT3
Q4VX76	O43805
P51149	P55210
Q01105	P53611
Q9H607	Q8WW12
Q9UK45	Q13501
Q9UI08	Q7L576
Q9BQ61	Q16584
Q9BXY0	Q96DX5
Q9NPH2	O94875
O75390	Q15544
Q8N7C3	Q7Z3B4
P20700	Q9ULX9
Q9NRR3	Q86T82
O43561	Q5S007
Q8WUU8	Q6P597
Q9C0J8	Q4LE39
Q14749	Q9H7P9
P0DPB6	Q92882
Q96E35	Q9NQX6
P79522	Q9NZN5
Q8IWV1	P31645
Q8IVW4	Q8TCZ2
Q9P0J0	Q6IA69
O14775	P0C7T5
Q8N0V3	Q96D15
Q9P2E9	Q9Y5W9
Q9BPX3	O15145
Q96AT1	Q9H944
Q14978	Q8TEQ6
O43709	O14561
P54253	Q9BXL5
P08603	P49796
Q9C0C9	Q14674
Q5SRE7	Q70EK8
Q96G97	Q5RKV6
Q7RTU0	Q9BY11
O60477	Q9BV68
Q16665	P26196
Q9NP66	Q96HJ9
Q9Y2X0	P25490
Q01959	Q13291
Q9UPU9	Q12972
Q9NWB7	Q53GG5
Q9UKS6	Q9NVV5
Q99933	Q9Y6X3
P04062	O75638
Q6P656	P05230
Q5TC12	Q68CZ6
P25705	O43609
Q5TEU4	Q14106
Q6PJE2	Q96FX2
O43474	P56589
Q12756	Q13618
P50552	Q9NTJ5
Q6PEX3	P48023
Q16586	Q9BPX3
Q8WXH0	Q9BWW8
P57740	O95479
Q14694	P51530
P42892	Q96KR1
O60336	Q5W5X9
O95229	Q9UBB9
Q6UB99	Q5VYV7
Q16204	Q8N9I9
P17987	O15482
Q9UK11	Q86YC2
O43711	O75379
Q8WXG8	O00165
Q9BQS8	O00267
Q9NWZ8	P12644
Q8WWY6	P13987
Q6P3X3	Q6PJQ5
P09871	Q9BRT2
Q9UNY5	P05107
P61421	Q99757
Q9BT88	Q96NL6
Q9P202	Q9BUE0
Q96GF1	Q13439
Q9P2D1	Q9UFD9
Q9UHW5	Q8WV41
Q9GZT8	P09871
P26641	Q14469
Q96EE3	Q59EK9
Q8NEY3	Q92575
Q9Y6Q9	Q96LJ8
P50616	Q9Y2X9
Q96PU8	Q92995
Q709C8	O60216
Q14764	O95571
Q9NRG0	Q8NBL1
P0C7X2	Q9P2D0
Q8TAE7	Q8IX18
Q99467	P17482
Q9UH62	Q693B1
P14416	O15446
Q12796	Q9NW82
Q9ULJ7	Q86US8
Q92905	Q8TAQ2
Q96DX5	O14924
P51858	Q9BYH8
Q93034	Q15545
P04629	Q9UH99
P23471	Q96JM3
Q9NSB8	Q15843
O60496	O15018
P35711	Q6NUJ2
Q6ICG6	Q8WXE9
P55198	P51861
P21452	P61218
Q9NQ66	Q9NPJ6
O15533	Q96EB6
Q5JS54	A5D8V6
Q9BV73	Q96ST8
Q13322	P54277
Q9Y244	P09913
Q9H4H8	Q99704
Q8N205	Q9UHC6
Q12802	Q7L775
P08887	Q04864
Q9H1Y0	P63000
Q8N1I0	P07196
Q9UG01	Q6P597
Q8WX92	Q9BXJ1
Q96BY7	Q9H7B4
Q9NRU3	Q96AT1
Q15291	P15036
P05121	Q6PJW8
Q5TKA1	Q9NQ31
Q9Y296	Q6DD88
Q8N122	Q00577
Q8N6S4	Q66K74
Q9H251	Q9NP77
Q9P2R7	Q96QF0
Q13868	P16871
Q9BTY7	P11177
Q9Y6I3	Q6ZYL4
P15172	P68400
Q8NI08	Q9HCM9
Q6IPM2	P62333
Q5T7W0	P11912
Q8N4J0	Q9C0E2
Q06587	P32321
Q99816	O43167
Q9NX02	P11473
Q9UBF6	Q9UHC6
Q15811	Q0D2I5
P60903	Q9P2M7
Q9Y6E7	Q63ZY3
Q8N1A6	A0MZ66
Q969S0	Q14019
Q14674	Q9Y3C1
Q96ED9	Q13608
O14492	Q9NY12
P16455	Q7Z699
P23142	Q92567
Q4G0F5	Q4LE39
Q8WVB6	Q9NQ79
Q96EF6	Q08499
P01111	Q92834
O95218	O15259
Q9UPP1	Q19AV6
P38646	Q9NXD2
Q9P2A4	P78324
O95613	Q9P202
Q14674	Q9UHJ3
Q96B01	Q709C8
O75448	P61313
O75618	P61086
Q9NQQ7	Q16649
P20851	P35244
Q9UHY8	Q9Y651
P49918	Q9NV56
Q16849	P62312
Q9BYP7	Q7Z7H8
Q7L576	Q14190
P02768	Q6ZSG1
P08865	Q9NX55
P62191	O43918
P20366	Q9Y5B9
O60331	Q9NUJ1
P04083	O60907
Q9ULU4	P35236
P62166	Q5EBL8
Q9Y6I4	P50991
Q96EK7	P09913
Q17R89	Q8NDZ2
Q2M2I8	Q08380
Q17R98	Q8N201
Q5MJ70	Q969R5
Q15672	Q9NX95
O14807	O43310
P51648	Q96CG3
Q9NQU5	Q9H6U6
Q9HB09	Q99967
O15234	Q7L4P6
Q9P2D1	O95239
P52434	Q71U36
Q9P202	Q8IXJ9
P50553	Q9NWT6
Q9Y575	Q9UGI9
O95685	O43829
Q15004	Q13480
P78406	Q9NRY4
Q8NDX1	P01111
P13501	Q15916
Q9BW66	P46379
Q9BVC3	O00592
Q9P206	Q9BZM1
Q5T9L3	Q8N0V3
Q7L590	O96015
P04085	O60671
Q14657	Q86U70
O95343	Q9H5Z1
Q96KC8	Q13480
Q99728	P35658
O60894	Q8TB96
Q7Z4U5	Q9Y6I4
Q14137	Q7L576
Q96FZ7	P41162
Q07817	P05067
Q86Z14	Q8IVA1
Q96DH6	O76015
O43291	Q92667
Q9Y548	Q7Z7L7
Q15390	Q96HA8
O95707	Q9UPT5
P51170	Q9H2G4
P49716	O14981
Q70EL1	Q9P000
Q8TEB9	Q14160
P35236	Q9UBW8
Q9ULX9	O95433
P62820	Q16254
Q96L94	Q9NPI1
P35219	Q9BXS5
Q14019	A8MW92
Q9BYX4	Q13422
Q96GZ6	P04234
Q12996	P45381
P43378	O75916
Q9Y574	P41217
Q15102	Q7L775
Q99608	Q9GZM5
P42336	O75489
Q8TDN6	Q9NXG2
Q13422	Q9BSM1
Q93038	Q8WWG1
Q9BQ04	Q9Y2Y0
Q14393	O43293
Q969L2	Q8IZU0
Q9NSY1	P51991
Q9BUU2	Q2TAC2
Q9UK97	Q86WT6
P20810	Q63ZY3
P41238	Q5TKA1
Q9UHB9	Q6ZVT0
Q9UL40	Q13616
Q12809	P01106
P20042	Q9Y6E0
P24864	Q6PD74
Q9P2G9	P21964
Q86UD4	Q2M3C6
Q9NZM5	P50991
P20366	Q99661
O75182	P52655
O00471	Q8TCT8
Q9HCS7	P56181
Q96EC8	P46100
Q96LA8	Q8IX90
P50549	Q12874
Q6ZSY5	Q96A70
O15205	O00541
Q14814	Q86Y82
Q0VD86	O15534
Q5VT06	O60683
Q8N9I9	Q15648
Q14137	Q9Y5T5
O15151	Q7L7V1
Q9NZJ5	Q9UBQ5
P53992	O15482
Q08050	P49917
Q4AE62	Q9BV38
P42229	P05362
P08240	P33981
Q07654	Q92625
Q5T5X7	Q6NZ67
Q96K21	Q8N988
P35240	O00743
O60381	Q15386
Q9HB89	P45379
Q9NQM4	Q9NUL5
Q96K21	P13805
P14920	Q9NQ87
Q9BVG8	P98077
P16455	Q8WXG8
Q9NUL3	P16615
Q9UPP1	Q8NC69
O15015	Q04912
P10600	P10644
Q96H22	P27037
Q99700	Q3ZCQ8
Q9P2W3	Q9BV19
Q8TB45	P38936
P21675	P50402
P07858	P07307
Q569H4	Q00526
Q8N6S4	Q9Y6R0
O15516	Q14126
Q99683	Q9H1I8
P06454	Q12805
Q96KN7	P18077
P42892	P42336
Q92800	O14807
Q01453	P29083
P16860	Q9P2M7
Q9Y4W2	Q9UKT5
Q08495	Q8IWS0
Q16600	P19532
P13984	Q9BZE9
Q9BTP7	P59998
Q96BN8	O00483
Q9UGI9	Q9H093
Q9UJY4	Q8IWY9
Q96H86	P30305
Q86SE8	P47712
O95319	P05814
Q9H204	P21506
Q13813	P55198
Q96JM7	Q14691
Q13951	P07949
Q56P03	Q9HCK8
P63316	Q8WVM8
Q0VG06	P98155
O60894	P29374
Q86Y33	Q68D86
Q01094	Q9UPN9
O43396	P07288
Q8NEB9	P13682
Q16576	P41226
P20138	Q5SW96
Q99436	Q12769
Q7Z628	Q9UKV3
P18077	O14924
P53618	O95831
Q9UFW8	Q96AY2
Q96JK2	P19447
Q9Y4G8	P52630
Q9Y450	Q9NVA1
Q13901	O14978
P17181	Q9BYF1
Q9UL54	P03956
Q96FV9	Q7Z7F0
Q9Y6A4	Q99832
Q12923	Q9NQ79
Q99538	Q8WV99
P20849	P43268
Q9Y3U8	P04626
Q8WVX3	Q0ZGT2
P03915	Q13576
Q9H063	Q17RB8
Q2WGJ6	O15287
Q9NZ32	Q96ST3
Q12948	Q96RI1
Q96DX5	Q86U42
Q96DT7	P19525
Q15645	O75128
Q92844	Q9NWV8
P19086	Q96BW1
Q6L8Q7	Q05923
Q96RF0	Q8NB12
Q9NVR0	Q969J2
Q63HK5	Q16288
Q9NUV9	O60716
Q53H96	O15234
Q02363	Q9BU64
O15488	Q15466
Q9HAY2	Q13200
Q8N9H8	Q5SSJ5
P43405	O15360
