Q8TAI7	Q9HC62
O14543	Q5JVF3
Q8NFF5	Q13029
P17544	P54368
P61421	Q9Y2B0
Q5UIP0	P62899
O00267	Q9BUG6
P56817	P09211
Q9UNF1	Q9NW64
Q7L576	P78317
Q99759	Q9BXJ1
Q9H5J8	Q96SQ5
O75419	Q96IZ0
Q8TEL6	Q06587
Q02763	Q9BR76
Q13228	Q9Y535
P78406	Q9BYG5
Q8NC96	Q15363
P20929	Q14508
Q9H4B4	Q99732
P35125	Q15744
P04080	Q8NB78
Q9BRD0	P08473
Q96RT8	P26371
P54709	Q9P2K3
O15530	Q05195
Q9C086	Q13435
Q02539	P35637
P29373	Q8NF64
O75362	P09417
Q9NNW7	Q5JRA6
Q13332	Q86Z02
P07333	O96015
Q02388	Q9BX82
O15084	Q8IWR1
P30039	Q9UBH0
Q9UBE0	Q63HK5
Q12926	O75335
Q9NTK5	Q92782
Q86U42	Q9BRK5
Q9UFG5	P49454
Q99576	Q9UGP5
Q96EP0	P26599
Q13163	Q4G0J3
Q8NA72	P62308
Q3ZCQ8	Q14315
P49711	Q9NX04
P04637	P51159
O00198	O76083
Q7Z5L9	P61586
A6ZKI3	Q9BV90
Q5JR59	Q96KN7
Q9NRP4	Q6ICB4
Q6P1K2	Q9UI10
Q8NEZ2	Q9UK53
Q969W3	P18084
Q6ZN55	O75618
P29372	Q15233
P26368	Q9UNH7
P52952	Q9Y5X0
Q8N3C7	Q9HB96
P51861	Q8N988
P01375	Q9NUQ3
O75146	Q9UBH0
P48169	Q8WVM8
Q6PJ61	Q68BL7
Q96BY6	O60759
Q8N5I2	Q93038
O60232	Q13326
Q9UJ04	Q5T5P2
Q9UBP0	O60256
O15409	Q6NZY4
Q8NHG8	Q8NB12
P17544	Q99569
O60337	Q15645
P21583	Q15599
Q9BXS5	P24390
O75569	P30876
P09234	Q07021
Q9UI95	Q9Y2V7
Q9UBS9	Q8TAE7
Q96SU4	O95980
Q92882	Q9Y5Y5
Q9UHV7	Q15796
Q6ZNC4	Q9BXF9
P25786	Q9UBV7
Q9C0C7	Q9UBV8
Q8N983	Q9NZ71
Q7Z419	O14733
Q9UNS1	O95478
Q13616	Q16890
P35249	P55884
P78348	P53779
P34998	Q6P2H3
Q8WU79	Q05195
Q9H4I2	Q9Y366
Q96RS6	O75553
Q9P0J0	O43719
Q9H9E3	O15446
Q96I25	P51636
P10909	O15162
P06396	Q9GZV8
Q06432	P12757
Q9BV90	Q9UEU0
P62487	Q53EL6
P0C7X2	Q9UBT7
P01579	Q05639
O75317	Q9P0L1
Q13258	P49768
O15460	Q06330
Q5VU43	A8K0Z3
O75884	O75363
Q96CD2	P25490
Q9NTJ3	P04070
P35354	P18074
Q01968	Q9UNY5
O43150	P84090
Q8N0X7	Q7Z392
Q14847	O94889
Q99747	P40938
P99999	Q9UBC3
Q02086	P81877
Q969S3	P98160
P20042	Q4VCS5
Q7RTV0	Q8WTW3
Q9NZ32	Q8N140
Q9NRY2	Q13685
Q9UGL1	P53355
Q8N895	Q8TCJ0
P30825	Q9NWF9
Q2TAY7	P49888
Q8IYD8	P01374
Q9H9D4	P54105
Q16082	Q16531
Q96L92	Q13291
Q8WXI9	Q9HD26
Q15116	Q9NQC7
Q8WV24	O15439
Q9UJX2	Q9Y3Z3
O75935	P48549
P05154	Q96EZ8
Q96JN8	Q8WWR8
Q14134	O43805
Q15223	Q9BQI3
P09211	P50402
O75477	O75382
Q9Y3D7	Q9BUN8
Q9UQK1	Q7Z3J2
P23458	P20933
Q8WV44	Q15369
P25445	Q9BT40
Q13111	P03956
Q9NSE2	Q3MII6
Q9UGY1	Q01105
P49750	Q9H6S1
Q6ZUT1	Q16514
Q9BWM7	P51948
Q15047	Q9P2N7
P55011	Q9H4A3
Q99549	Q9UHA3
Q99623	Q9NPE2
Q9NRD5	P17509
Q9UNI6	P20073
O60921	Q9Y371
P55201	O75477
Q15750	O43187
Q9ULG1	Q15973
Q07812	P15927
Q92759	Q9NX08
Q5VSY0	P29728
Q96DR5	O14978
Q9NYB9	O43924
P09001	P61513
Q86T24	P18887
Q13546	Q9Y5B9
Q5T9L3	Q96JN0
Q02363	Q6ZUT1
Q9NRG4	Q9UL15
Q969H0	Q15555
P62906	Q9NY61
P27449	Q9BXL8
Q9UK99	P41227
O00170	O95711
Q8N3R9	Q12980
Q86WA8	Q9BT92
P21757	Q92615
Q15527	O95407
Q13111	O00555
O14578	Q9UII6
P05198	Q8N108
Q9NRB3	Q9NPH3
Q9HCU5	Q8IVD9
Q15007	Q99909
Q8N5D0	P34130
Q70EL2	O75943
P49757	P20929
A2RU67	Q8N539
Q9H4Y5	Q9H9Y6
O75663	P0DJD3
Q8NHU6	P35212
Q13263	Q8NFZ0
Q9H1H9	O75293
Q9Y2J2	Q712K3
Q9H7D0	Q9BRK4
Q9NX08	P48200
P62750	P50914
Q53S33	Q6VMQ6
Q3KNV8	Q68G74
P28340	P01241
Q495M9	Q8TAE7
Q15006	Q9BV97
P36406	P42568
P15822	O43822
P63165	Q7Z6J8
Q96BJ3	O94864
Q96N95	Q9UMY1
Q9Y6A5	P78352
P17482	Q9ULA0
O14807	O75409
Q8WW24	Q8NG31
Q86VR2	Q8IYX3
Q5T6F0	Q02543
O43502	Q96G01
Q16828	P05129
P42677	P20963
P78345	P50995
Q8ND04	O43318
Q02086	Q9Y3C7
P25490	P09529
Q9HB07	P78396
Q12874	Q9C086
Q9C0C4	Q8N0X7
Q15843	Q9NQ87
Q86UD4	Q6PCD5
Q8IUX1	Q92643
Q13444	Q9Y312
Q06330	Q9Y232
Q9Y6E7	Q5BVD1
Q9NVV9	Q9BUV0
P60866	P60228
Q9NPE2	Q9NV79
Q9Y574	Q00987
Q9Y295	Q32NC0
P06276	Q9NYF8
O15066	Q8IVM0
Q93009	P36404
P30304	Q8TEK3
Q8TAF8	Q96A65
Q9BSG1	P78545
Q99436	Q96SI9
P31350	Q9BSJ6
Q6NUJ2	Q8NHQ8
Q96GZ6	Q8NBZ0
Q15654	Q8IXJ6
Q9UJP4	P21917
Q13029	O43521
O00567	Q9Y6A5
P48995	P25963
P28749	Q8NFH3
O96011	P35613
O60293	P05129
Q14974	P08887
P35240	P61978
Q6P5Z2	O95785
Q96EY8	Q9BVS5
Q15569	Q6ZVM7
P57088	P46779
Q6PI47	Q96CJ1
Q9P0M9	Q99759
Q14168	Q8IWY9
O60925	O95786
Q8IY31	Q8N5M1
Q07955	Q9H9C1
Q9NR21	Q9HCJ0
Q15287	Q96IJ6
Q8HWS3	Q9Y4F9
Q8NBZ0	P51957
P18146	O95758
Q13085	P20340
Q9UII6	Q9C0E4
Q92629	P04234
Q9NVN3	Q96MW5
Q15542	P60228
Q9Y2M5	Q8IZU1
O14686	Q13098
Q9HB07	Q8IY31
Q8NHM5	P52655
P25116	Q9ULX6
Q2M1P5	O75593
Q9H0K1	P40337
Q9NTX7	Q9Y4X4
Q5T447	P21860
Q86X45	Q96FC7
Q9ULZ1	Q9P0W2
P23526	P18074
P11308	Q9UJU6
O43633	P31689
Q9BS18	O43521
Q9H3D4	Q86SE5
P04114	Q6P1W5
Q6ZU35	Q15404
O15381	P48023
Q96LM6	Q9HCY8
Q13772	Q01813
Q6ZYL4	Q12934
Q9UL42	Q96AH0
O43296	Q01081
Q9UH73	P81133
Q14257	Q9Y217
Q96FW1	Q9Y680
Q86U86	Q9P275
Q9Y265	O14776
Q9UHP6	Q9NVL8
P09661	P21452
Q6P1M3	Q9Y576
P10073	Q86VN1
Q8IVT2	P42685
Q86UD4	Q9Y6K1
O43681	O14519
Q9H7C4	P17024
P04233	Q96JM2
Q9Y4X4	P14678
Q9UBZ4	A6NKD9
Q92692	Q07912
P23229	Q96NL3
P49589	Q9P086
Q9NRC8	Q86YS7
Q68DV7	O14561
Q8TCA0	O00257
Q15052	P30825
Q9BTA9	Q9HCI7
P62249	P48643
O60880	Q9H3Z4
Q15291	Q15041
O15315	Q9NRX1
O75409	Q9HB89
Q9H3U1	Q96QE5
P29317	Q8IWL3
Q9HD33	P49736
P16070	O15360
Q8NB46	Q9NVP1
Q9UNA4	Q7Z3B4
Q15853	P17542
O95343	Q96K30
Q9NUQ8	Q96EA4
Q96RR1	O75695
P17275	Q8N895
Q5BJF2	Q06323
Q9UM54	P06400
Q53F19	P29376
Q9BT17	Q9BXW4
Q96GA3	Q96RS0
Q9NXK8	Q92523
Q8N3J5	Q92804
Q99567	P06748
Q13509	P49910
P35221	Q6VMQ6
Q9NV58	O15357
Q68D85	P62136
Q8IYI8	Q9HCE7
Q9BWG6	Q8IWU6
O95391	Q9HCK0
Q9Y5S9	Q6ZMZ0
Q8IYH5	P10747
Q8NFJ9	Q12983
Q9NZ71	P05106
Q96S21	Q8TF46
Q08AM6	Q9C086
O60880	Q14BN4
Q96A72	P20929
P48775	Q9NS64
Q70CQ1	P31629
P58004	Q9C000
Q9BVP2	Q9Y230
P35269	Q15459
O75618	Q9H553
Q9P2Y5	Q9UBP0
Q9BV38	P18206
Q9HCE5	Q9H019
Q96RF0	Q92918
Q96J01	P63165
Q9NVF7	Q9Y342
P20366	Q8WW38
O95425	P05408
Q13099	P17948
O75716	Q9HC36
P61160	Q8TB52
Q5JTC6	Q9Y570
Q9UKJ1	O00221
Q6P597	Q9NZM3
Q9P0K8	Q9H8K7
Q9Y3M2	Q9BX63
Q96Q77	Q9BYD2
Q9NVV9	O95365
Q9GZQ8	O43557
Q13867	Q969S2
P40426	P13693
Q9C0H5	Q9NXK8
Q9NX08	Q14192
Q70EK8	Q9HCE1
Q8WY91	O43257
Q96NY9	P41279
Q9Y6W5	Q96B23
Q9GZV5	Q9NWS6
P51784	O95402
Q05D32	Q07960
Q14678	A6ZKI3
Q92625	Q6IQ55
Q9NR50	P21359
P00750	P13994
Q14019	O00329
O95429	Q6RI45
P61006	Q6P4R8
Q02241	Q15256
Q8WVL7	P26715
Q9UL19	Q99967
Q5I0X4	P60409
P40238	Q9NRD0
P57735	Q92698
Q9BZ11	Q9NUI1
Q9UII6	P25800
Q9H5K3	Q06265
Q9ULT8	Q9NP79
P35070	Q8N5M4
P61513	Q96JG6
Q96PU5	Q92830
Q4G0J3	Q9Y4K4
Q05516	Q7L7V1
Q8N6P7	P48556
Q53GS9	Q2TAZ0
Q8N6U8	Q6PJW8
Q9NZQ3	P57678
O00155	P35398
Q9NWZ3	Q12765
O75143	Q7L2H7
P98175	Q9NQZ8
Q7L775	Q9Y2J2
Q5T681	P51784
Q9NRN7	A0AV96
Q6IE81	P51825
Q15599	Q9NQS7
Q9NRQ5	Q5QP82
O43747	Q12983
Q6ZYL4	Q16650
P56181	Q9NQC3
Q9ULV5	Q96MU7
Q9H8Y5	Q9GZS3
O94985	Q7Z417
P31943	Q16513
P20963	P41182
Q8NHG7	Q8TEL6
Q8TAC2	O95319
Q9BQP7	O76071
Q06643	Q9P2D1
Q96G04	Q6UWZ7
Q99728	P47974
Q6UB99	O95391
P01031	Q92985
P09917	Q9Y4P3
Q96N67	P46937
P10589	Q96BN8
Q03135	P14406
P07332	Q6KC79
Q13158	Q9NX18
O15482	Q6P2Q9
Q13882	Q12967
Q9P270	P48047
Q07666	Q9NPB6
O75586	Q8NHU0
O60603	Q6VVB1
P29475	Q92523
Q9P2J5	O00512
Q8N5I9	O75340
Q9UI36	Q9UJX5
P12830	Q96GQ5
O95239	Q15744
Q9H6Y7	Q9NS87
Q01658	Q9BW66
O00327	O75607
Q04656	P49802
O75379	Q9NZJ5
P02686	Q9BQG2
Q9NVS2	Q14657
O14949	Q9ULB1
Q9ULX6	Q9UKV5
Q6NXP2	O60331
Q8IW35	Q9UKN8
P23771	Q2M2I8
Q00604	O60285
Q2M1P5	P38117
Q16670	Q9GZT9
Q9NTI5	P55089
Q6GQQ9	P55273
Q96IZ0	O75330
Q9Y6E0	P32239
Q9BSV6	Q9NR56
P49736	P99999
Q2M2E3	Q6WKZ4
P26441	P36578
P41227	A8MW92
Q9BRX5	Q27J81
P16615	Q9H7B4
Q9H3P2	P18124
Q6GPH4	O75531
Q8IVH2	Q9H892
Q969Q6	P15923
Q6PF05	Q16891
Q9Y3B4	P30533
Q8ND25	Q9UKR5
Q9BYQ4	P53985
P55061	Q12830
Q99996	O60285
O15160	Q13487
Q6S5L8	Q12846
Q9P2X0	Q8NAV1
Q92624	Q92667
Q86YV5	Q9GZZ9
Q7Z3T8	Q5T7W0
P62913	P05813
Q04323	O75419
Q9UBW5	Q5TAQ9
O15078	Q5H9L4
Q5EBL8	O43586
Q8WZ42	Q99614
Q13901	O96008
O75379	Q9NXR7
P09086	Q99871
Q92466	Q7L2J0
O00418	Q7KZ85
Q8N9W6	P43365
Q96RY7	A1L390
Q12774	P10276
Q96GY0	P55273
P54278	Q96GG9
Q01813	Q9Y4C1
Q96DH6	Q8HWS3
P09622	P0C1Z6
P50222	Q4VX76
Q96HN2	O60240
O43186	P61221
P55957	Q92904
Q86YP4	Q8WZ74
O95251	Q12948
Q8WXU2	P32321
Q12796	Q9Y4B5
O43915	P14778
Q9UK11	Q9NX02
Q96CA5	P58004
Q5T655	Q92882
Q86VZ6	P29375
P02549	Q9NQC8
P61086	Q13761
Q9BSC4	P32314
P26678	Q92793
P12830	O43474
Q8N766	Q8WXH0
Q9BXY4	Q66K14
O95677	Q6KB66
Q96L50	P02649
P21757	Q9NTK5
P13284	P62899
P14854	O43187
P36894	Q9H2A7
Q8WVM7	P01133
Q9C0C6	P43246
Q8WU17	O75152
O14682	Q8IW41
P50402	Q8WWY6
Q99967	O75444
P57088	P62312
Q9P0J7	Q14166
Q15051	Q13422
P37108	Q8TDR0
P47756	Q6PF18
Q68DK2	Q16635
O43823	P53567
P49821	Q8IYD8
Q96DZ9	Q9H7H0
Q92556	Q14197
Q9H2H8	Q8TEC5
Q8NB16	Q9BQY4
Q13571	Q96KS0
P32243	P51948
Q8N1G0	P63316
Q9NP79	Q96JX3
Q96EP0	Q96N67
Q92622	P55789
O60678	Q8N5I2
O94817	Q9H792
Q01105	Q9Y5Z7
Q9H0A9	Q02543
P24534	P62699
O75489	P09914
Q8IY57	Q96A65
Q14209	P13693
Q15642	Q8NA61
Q13451	O43432
O15031	Q14005
Q96LJ8	Q6UWL6
Q13123	O75208
O95487	Q9NR30
Q9NZ43	O15164
P28324	Q9UJU6
Q5T700	Q8N2W9
Q9NS69	P55345
Q9GZY0	Q9NZN8
Q96MF2	O15061
Q9BXA6	O75593
O15015	O60941
Q9H7P9	Q92800
P09105	P42224
P51164	P0CG13
Q0VD86	Q9NRD0
Q9BU64	Q13144
P62834	Q8NB16
Q8NEU8	Q96BH3
Q9Y5P3	Q9UM73
P50750	Q16478
Q9UJX4	O14981
Q7Z434	Q86Y97
Q96QB1	Q9NYN1
P38432	P20336
Q96GX1	Q9H078
Q9BTK6	P23468
Q15165	Q9UP83
Q96AJ9	Q6N075
O75716	Q9BTE0
Q8WUH2	P52744
Q86VR2	Q07869
Q9NX65	O75410
Q8WVK7	O43150
Q13952	P16083
Q9UKF6	Q16181
O15350	P06746
Q92900	P47224
Q9Y6Q9	O96011
P49915	P78324
Q9Y577	Q8IWI9
Q9Y5P8	Q16594
Q13002	Q99640
P33151	Q96LA8
Q9NX47	Q70UQ0
Q86YS7	Q9UK58
P49368	P08962
Q15011	Q6ZMU5
O95980	P36404
Q00532	Q86X45
Q9NUQ8	Q9UPR0
P49915	Q9HCC0
P12277	Q9BUV0
Q16790	Q9NX95
Q8IZ69	Q9UBN7
Q9NZ43	P52739
Q13765	Q9BUE0
Q13156	Q9H1M0
O95630	Q53EL6
P43364	Q5RKV6
Q9P2S5	P15259
Q8IZ69	P49773
Q9BVS5	Q9UL51
Q6IBW4	Q8NDV7
Q9Y297	A8MW92
Q8WU90	Q96DX5
Q7Z739	Q2MKA7
P50995	Q9NXC2
Q9H0A9	O75486
Q8IWF2	Q8WWN9
Q9UQB8	Q7Z7B0
P35221	Q00839
Q96B26	Q9UM07
Q9Y3U8	Q96QK1
Q15645	P12004
Q9P0M9	Q9BQI3
O75530	Q13105
Q8IYU8	P49815
Q8N9N2	Q9HAY2
Q8N8S7	P14406
O60291	Q9BZE1
Q9BV86	Q9UPT9
Q6AI39	Q93038
Q9UN30	Q15311
Q15008	Q16718
P50897	Q7Z6J0
P20929	Q6P597
P08575	Q9BQI9
Q6ZT21	P27708
Q92985	Q13439
P23468	Q9UGJ0
Q9Y2B1	P53007
Q9NP81	Q9UBU8
Q9BSC4	Q6ZN04
P05813	Q5T9L3
Q9UP83	P36894
Q9UH92	P20333
Q8IUW3	Q9NQX3
A7MCY6	O00629
P15056	P51843
O94952	Q96MF7
Q9H0K1	P25311
Q9UQF2	Q9Y5P3
Q9Y3L3	Q8WYR4
Q9NQG6	Q9NVT9
Q9NPG3	Q9Y2Z0
Q99590	Q8NDV7
Q9H211	Q71F56
Q05209	Q7Z7F0
Q8WXX7	Q9BUP3
Q9ULH1	P00533
Q8N4P3	Q00765
P21673	O60291
Q8IXM2	P49770
Q96DX5	P13987
Q14152	P18887
Q9UM54	Q9NP77
O14976	O14832
Q7Z6J8	O14832
Q14738	P23409
O43353	P49768
A6NK89	Q13393
Q68CQ4	Q9H6R7
Q9BSD3	Q8N7X8
O43524	O95711
Q96EN8	Q9H257
Q15386	Q12815
Q86UR5	Q9BZW8
Q00532	O95678
P37837	Q9Y4Y9
O95166	Q9P2I0
Q96LR7	Q05D60
Q9UIS9	Q9Y6B7
B2RUY7	O95967
Q92552	Q9HCM7
P19429	Q9HD26
P31948	Q9NY93
O00291	P37088
Q15257	P16035
P46937	Q9BXA6
Q8IWF2	O15018
Q15329	Q00872
Q8N4C7	Q12874
Q6AI12	Q9BT78
Q8WUK0	Q9NX40
Q5VZL5	Q5SSJ5
P78371	Q06547
Q15542	Q9H9E3
Q8N1B4	Q76L83
O75448	Q9UQ13
P05496	O95747
Q15386	Q96T37
Q15306	Q15004
Q96RU8	Q13671
Q86Z14	P09913
Q96MW1	Q9BSJ2
P16035	Q9BSF8
Q14393	O15018
P19883	P15311
O43324	P43146
O00167	Q8TCX1
Q7Z3J2	Q6ICG8
Q9BSI4	Q7Z6J9
P67870	P43699
Q92575	O15318
Q96RS0	Q9HCM3
Q9UBX3	Q8N165
P0CG13	Q96N95
O75363	P18848
P02686	Q9NSB8
P61073	O75323
O60645	Q6ZNC4
O60296	O75146
P11686	P62750
Q12926	Q6BCY4
O43719	Q53HC0
P05106	P33991
O43313	O43805
Q9ULT8	P14618
Q9H8M7	Q96PU8
O43156	Q8TDM6
Q01813	O75208
O94886	O60337
Q13617	P62829
Q6IPR1	Q63ZY3
Q9H4T2	Q9C0C2
Q99727	P62993
Q9H5N1	O95714
Q9UBT6	O43609
Q9NX40	Q9BUJ2
O43257	Q8NEF3
P13569	Q96J77
P05023	Q96IT1
O95777	Q9C035
P04406	Q9UF56
Q8N131	P53990
Q9H2G4	A5D8V6
Q9UQ35	Q9NQX0
Q16548	Q12906
Q86XR8	P29460
Q8NDN9	O95167
Q96GY3	Q96JC1
Q15369	Q13049
P50613	Q96S97
Q8NEF3	Q8WW12
P52298	Q96RS0
Q4KMQ1	P50991
Q6N021	P35269
Q5JR59	P42338
P01106	Q96GX1
P12830	Q9GZU8
P25963	Q8N302
Q9Y296	Q9GZL7
Q8NB91	Q9UHD8
Q6IPR1	Q9UKS6
P11912	Q9NSY1
Q13232	Q15569
Q5VVQ6	O95786
Q99759	Q01201
P62241	Q92574
Q96C74	Q12756
