O00291	Q9Y265
P41002	Q9BVJ7
P41217	Q9UM82
Q9Y5S8	P68036
P29474	P60484
Q8NFH3	Q9H4I2
P43363	Q99612
Q8TD31	Q14533
Q9NVU0	O75489
Q5TC12	P00734
Q9H5V7	Q92993
Q14204	Q15907
P27695	Q9UQR0
Q9UGI6	O96018
O95456	P47755
Q8N3Y1	P18887
Q14CW9	Q9H7L9
P53007	P22004
Q9BY11	P17301
A6ZKI3	O95433
Q9HB07	Q96H86
Q7Z3Z2	P49354
Q13351	O14497
Q9NQQ7	Q9H4I2
Q8TDQ7	Q9Y2E5
Q6UN15	P49756
P31350	Q93074
Q8N5M4	Q96QB1
Q7LBR1	Q969R5
Q9UHV9	Q9BQ67
Q92674	P42167
Q6ZSB9	Q969U7
O00623	Q9GZQ8
O43427	Q8N539
Q15369	Q53TQ3
O60573	Q96SB4
Q8N983	P49366
Q5JWF2	O15056
P04035	Q4G0J3
Q05469	Q969K4
Q13287	Q8IWS0
Q8N0Y2	P21127
Q9HCN6	P09001
Q9Y262	P10276
O43156	Q8WW24
Q9NZ81	P21817
Q99436	Q86VW0
Q9BW83	P16615
Q86VS8	Q9P013
O60673	Q16667
P55769	Q96LR7
Q8N1S5	Q02930
P82675	Q9BUN5
Q06190	Q96SQ5
Q9P0N9	Q7L2H7
Q13219	Q7Z4N8
P20809	Q7Z614
Q9Y253	P21781
Q08426	Q969H6
Q9UG01	Q96CS2
O60237	O14579
O14981	Q13952
Q8N0V3	P28749
P80365	P46952
Q8N488	O14544
Q96C74	P04004
Q15696	Q9Y6J9
Q03989	Q12860
Q9BYR7	Q86UQ8
Q9BRP8	Q12906
P38936	A8MT69
O95169	O96028
Q6ZYL4	O94989
O43488	Q9UII2
O43482	P13385
P20366	O14867
Q9NYA1	O60880
Q96KE9	P51531
Q9H6Y7	O75380
P13987	Q9Y263
P23434	Q6ICG8
Q86WJ1	Q9BPX6
Q7Z4V5	O95971
Q9Y4Z0	Q13882
Q8NDZ2	P20292
Q96RR1	Q9GZT3
O76081	O15379
Q96S65	Q9BXI3
P01579	Q9P2X0
O60711	Q15291
Q9H2X6	Q7Z419
P01040	P48645
P61764	Q96QK8
Q9NS56	O95684
Q9HB71	P61962
Q2NL82	Q3KP44
Q9BSV6	O14807
O95985	Q6PJ61
Q9Y6X3	O75830
P61925	P22415
Q99608	Q9UHA4
Q14653	Q9NPJ6
P27824	Q9BZD4
Q9Y6K9	Q9BVL2
Q99471	P49736
Q13133	Q96NA2
P51812	P57678
P18827	P17024
Q9BRD0	Q9Y3I1
P62304	P01241
P17152	Q99436
Q99963	P07355
P57075	P18074
Q8IYI8	P51648
Q16790	P61964
Q9P2D1	Q9NZD8
O14810	Q9NQS3
Q96MF7	Q9Y577
Q86V59	Q92609
Q14191	Q00013
Q92917	Q9BRX9
P55854	Q8IYI8
Q96SN8	P42568
Q14135	Q92878
P78318	Q13077
Q96N64	P49840
Q9H093	Q9NNX6
Q14190	Q9P2W1
Q9Y546	Q03252
P18054	Q8WXF8
Q9H078	Q15020
Q12934	P21145
Q9NTX7	Q8TCZ2
Q15788	O95373
P78345	Q9Y3B4
Q15758	Q9UQ13
Q96PU4	Q9UGI9
P26678	Q6QNY1
Q96JM2	Q9NX63
Q9UL40	Q9Y6J9
P82979	P61160
Q93008	Q13616
O75152	Q6NZY7
Q02388	Q9NZ32
Q9BYH8	Q9Y3T9
Q14194	Q6NUJ2
P15509	O15315
P61966	Q9Y6Y9
Q13113	P78406
Q14444	Q8TB22
Q12899	Q96JA1
P84103	Q86XL3
O15355	P52306
Q9NS64	O95400
O60336	O60942
Q96GY3	Q96MG7
Q9UKX7	Q6NZ36
Q8TD10	Q9NZJ0
P60228	P49639
Q8N5Z5	Q7Z4S6
Q8WV44	Q7Z6J2
O43175	Q13797
Q5T2D3	Q8TDD1
O95229	P07333
Q96M95	Q9H714
Q86T82	P23588
P61081	O60238
Q12982	Q8NEG0
Q9UMX2	P55196
Q9H0Y0	Q9UBH0
Q92624	Q9BRQ0
Q9UM73	P56180
Q9H6S1	Q9BT67
A6ZKI3	O60269
O15033	Q6PJ21
Q9HC36	Q9UKG1
P38117	P55265
Q5T7P8	Q96GX2
O43583	Q96KN7
Q3KP66	Q99075
O43678	Q9UGI0
Q9UJ55	Q8N895
P24278	Q9NVM4
O75531	O95190
P48061	Q9H7L9
A8MT69	Q9P2K6
Q13868	Q96KQ7
Q13315	O14782
Q9NSE2	Q71F56
O76083	O75030
Q9BW11	O15205
P51991	P28324
P00747	O95786
O95251	Q93009
Q7Z6J2	Q86SX6
Q9HB21	P57771
Q8N6S4	Q8IWR1
Q9UMR2	Q6A162
P01023	Q9GZQ3
Q96IZ0	P42285
Q6QNY1	Q9BXB4
O96008	Q6P2H3
Q9BQA9	Q96J92
O15350	Q5SXM2
Q14524	Q8N205
Q6NZ36	P04080
Q9BVA0	Q53H96
Q96G75	Q15645
P30414	P62877
Q7Z4H7	Q9BUQ8
Q6PEW1	P78536
P08069	Q5T6S3
O00631	P04049
P83436	Q8WV41
Q15834	O00155
Q15742	Q5T6F0
Q96PV4	P55895
Q96F44	Q9NVR2
O95271	O15535
Q9UGL9	Q9P2W1
O14561	Q99075
Q96G23	O75828
Q13232	O14649
Q9NZU7	Q99102
Q99102	Q494U1
Q9Y4B5	Q9UNL4
P54198	Q96L46
O15354	Q9ULD4
Q9H8S9	Q96KS0
Q96RG2	Q8IX90
Q15942	Q9BYZ6
P53355	Q9Y2Y0
O95168	P49802
Q15303	Q8TCX1
P23769	Q8WTS1
P07510	Q9P2R3
P49411	Q15006
Q9NRG4	O00628
Q8N6T3	A0AVI4
P51610	O00231
Q9H8S9	Q9Y566
Q8N0X7	O15514
Q9BT43	Q9NWZ8
O00264	P21980
O95271	Q9Y6I7
Q15370	O95870
P05019	P62249
P23471	Q8NEY4
P29323	Q5FBB7
Q14258	Q9H9T3
Q9UBW7	Q2I0M5
P82675	O95248
Q9H270	Q8WV44
O00482	Q9NU19
Q9HBH9	Q96EY5
Q05923	Q8IYX8
P51861	Q8TD31
Q8N6U8	P17029
O95402	Q8NG27
O43257	Q8IUC6
Q9P0L0	P04155
Q9C0C2	O60844
Q49AJ0	O75382
Q8IVH2	P08047
Q9H6T3	Q9ULZ3
Q14494	Q8TBZ3
Q92759	Q8TEV9
O75489	Q15363
P62308	Q9BZW8
Q9H9Y4	Q9P000
Q9GZN1	Q9Y3S1
Q92820	O60941
P26678	Q9Y4P8
Q8N7W2	Q7L190
O95249	Q9Y222
Q00403	Q5QJE6
Q504U0	P30260
Q99614	P61244
Q5JR59	P20929
Q9P2Y5	Q9UPM6
Q9BTE3	Q13332
Q96HH9	Q8N5R6
Q96AA8	Q01860
P01031	Q70CQ1
Q9Y6W5	Q15056
Q9H078	Q9H8W3
O95985	Q86WZ6
O95376	O75569
Q03164	P51659
O60220	Q13084
Q86Y39	Q14201
Q8IU81	P51159
Q92624	Q9GZQ4
Q12913	Q16665
Q8IXQ5	P30405
Q15051	Q16512
Q8TBK6	Q99613
Q3KP66	P26678
O15205	Q8N5F7
Q8TBB1	P02686
P61962	Q15573
Q5JTW2	P23025
Q9UFC0	Q13277
Q96DA2	Q15848
Q10570	Q9BVM2
Q8NBL1	Q86V81
P49903	P43155
Q9Y5T5	Q9UMS6
Q9HC98	Q86UT8
Q9HAN9	P16615
O95319	Q86VX2
Q9H1K0	Q15545
P49773	O94955
Q9BQE4	P53396
Q8TDI0	O15371
P05120	P55011
O94979	Q9UMN6
Q9NYF3	Q9Y6F6
Q53TN4	Q16891
P35557	Q9GZQ3
Q9Y5R8	Q9BQE9
O75177	Q86VS3
O14977	Q15768
O75886	P36955
P82933	Q9NQT4
Q13404	Q86U86
Q5TA31	Q13239
Q7L273	Q68D85
Q9NQC7	Q9NRG1
P24864	Q8IWZ8
Q00978	Q13905
Q8IXH6	Q96BW1
Q9C035	Q9H1R3
Q9Y5Z7	O60760
Q9GZN8	P48200
O15439	Q9ULJ8
P16410	O15105
Q92629	P62750
O43196	Q8WZA2
Q9H2W6	Q5VVX9
Q9BRQ0	Q8IYJ3
Q9BRT2	Q6NXT1
Q6N043	Q99623
Q9NX18	Q9BY11
Q8NCE2	Q96JN2
O95980	P04150
P40306	P23497
P35658	O43791
Q9NZS9	P0C1Z6
P60468	Q8NFZ0
Q8IWF2	P31274
Q86XK2	Q9Y6H5
Q8TAB5	P50281
Q52MB2	P61160
Q9BU20	Q00987
Q6ZTQ3	P00750
O14511	P28676
P11717	Q9Y4P8
P28340	Q9UGI8
Q569H4	P48169
Q14201	Q96QH2
Q9NSD9	Q96GT9
P41226	Q9UJP4
Q53TQ3	Q9HBH9
P50897	Q96GX9
O95677	Q16204
Q99727	P49639
O75323	Q9C0A6
Q9NTN9	P31645
Q96C10	Q9Y4X4
P20851	Q96G74
Q8N726	O15550
Q99961	Q14257
Q96G97	O75348
O43242	P52594
P10321	Q9Y5Y5
Q5T9L3	Q9Y4F9
P62263	Q9NZ81
Q969F0	P06702
Q96T58	Q14582
Q96J92	Q86US8
O15151	O43924
Q9NQX6	O60293
Q9UI30	Q8IYL3
Q9BRG1	O95271
Q9BWW4	Q86VK4
P20226	P53355
P28360	P18146
Q5VZM2	O95926
Q7KZI7	Q9BT88
Q00534	O15446
Q6ZSY5	Q9H0N5
Q92738	Q9NRP4
Q15653	Q9BUL8
Q2MKA7	Q9BXL7
P60033	P32320
Q6EEV4	Q14142
O75444	P26651
O94868	Q9NS61
Q709C8	Q86T82
Q9UHP3	Q9NXR8
P50749	P50552
O75558	P18031
Q16795	Q8N988
Q9BUW7	Q9NP62
Q9P2T0	P48426
Q8N1E6	P51398
Q99436	P17813
Q9BQ90	P22314
P29728	P61165
Q99549	O14775
Q02763	Q8IWD4
Q96EF0	Q9H8V3
Q9Y4A8	Q6NZ36
Q96F44	Q9Y2J4
P03915	O43310
Q9Y5S2	P31040
Q9H788	P62495
P13236	Q8TDD1
Q14677	Q9NPJ4
Q02446	O43707
P34897	Q8IZJ4
Q13426	O00273
Q71RG4	Q9BQ04
P08648	Q96MY1
Q9H2P0	Q9H7P9
O95429	Q03933
P53990	Q8N122
Q9Y6D0	P62820
P15382	Q8TE49
O95180	Q8IX03
O14966	O95159
Q96JK2	P98155
P20749	P11441
Q14008	Q8N112
Q9NVA1	P28799
O95905	P53816
Q9Y6E2	P49407
P14921	P55081
Q8TDN1	P06753
P20618	Q9NZ09
Q56NI9	O15360
Q6SZW1	P00734
O94988	Q9Y3C5
Q96NZ9	Q13162
Q96PQ6	Q9NZA1
Q8NI38	P62854
Q02763	P26196
Q8WV24	Q69YH5
Q13033	Q92552
Q9BQE4	Q9C0F1
P22234	Q8NF64
P55089	Q8TDN4
Q9NXC2	P62306
Q9Y6H1	Q63HR2
Q9BQI3	O43488
Q9BT43	Q53F19
Q86UL8	P29353
Q8IWA6	P62256
Q96EF0	P40238
Q9NQZ3	Q14149
Q96PE7	Q9NYZ3
P60896	Q15020
Q8N6Y0	O43290
O60603	P13569
O60563	Q17R98
Q9UMY1	Q9UM82
Q8IU60	Q6NVH7
Q12772	Q8WWN9
Q9BQP7	Q13884
Q7Z3T8	Q01974
O43432	P12268
Q99952	Q9NX47
Q695T7	Q9NVX0
P42679	Q9P2G9
Q9Y5U2	Q9Y618
Q9GZV5	Q2NKQ1
Q9NV70	Q96LI5
Q8IWW6	P11441
O14795	Q8NBM4
Q12791	Q8N8S7
Q9NWF9	Q9BSJ6
P54368	P98161
Q5JVF3	P63165
Q86XI2	Q8NBZ0
P31150	Q5HYK3
Q16611	Q86VF7
Q6VMQ6	Q9H8E8
O95279	Q8IW41
P46821	Q8WXF1
Q96F44	Q8WV60
Q9H6T3	Q8IZU1
Q7Z7B0	P16455
P30414	Q96HQ2
O00237	Q12905
Q9UBT6	Q9Y2K7
Q5VZV1	Q86VQ0
Q92845	Q15257
O43929	Q6ZMQ8
Q9H063	Q96GY3
O15514	P09172
Q9Y2B0	Q9GZX7
Q7Z3B3	Q96MN5
Q9BQI6	Q13322
P04233	Q9NY33
P00918	Q9P2D1
P18031	P05161
P35247	Q86U44
Q8IYH5	Q8WXC6
P38606	Q2M1P5
Q86V59	Q6GPH4
Q02246	P26006
P18077	P10071
Q9GZS3	Q68DK2
Q659C4	P19525
O94864	Q8NBW4
Q92560	Q96DV4
O75817	Q9BUL8
Q04206	Q14202
O75306	Q00610
Q6PIW4	P25800
O14526	P26715
Q96S82	O60496
Q8NEM7	Q9H0F5
P43365	Q96HB5
Q13950	Q92889
O95456	Q8TES7
Q9UPP1	Q86Y01
Q9BQB6	Q14684
Q8NFZ0	Q96AG3
Q9BQA1	P48553
Q96QK1	P36508
P50895	Q08881
P46531	Q5T5A8
Q9H1X1	Q9ULV5
P57059	Q9UBF1
Q504U0	Q12980
Q9H8E8	Q9BTE3
O60645	O94776
O43264	P53816
Q8IYS0	Q8WUW1
Q15067	Q49A88
Q9BSQ5	O60547
O75128	P56589
O15015	O15085
Q9Y297	Q709F0
Q15024	P29372
P61247	Q8WZ73
Q86WV1	O43396
Q8WYA1	P49321
Q8IU81	Q9NZJ5
Q9NPH3	P54852
Q0VD86	Q9Y2T1
Q9UMX2	P27635
Q86WV5	Q9BXF6
P61968	P46783
P23284	Q14749
Q12791	O75317
Q12800	Q9BW27
Q9BQD3	P21731
P63208	Q1KMD3
O76075	Q71U36
Q8NFR7	Q8TE49
P59780	P02549
Q92993	Q9UPN6
Q9P2E9	Q5JTV8
P14210	P50225
O75586	Q13033
P05556	O43593
Q9P0W2	P51809
O00213	Q9BW27
P50747	Q9BQA5
Q6Q0C0	Q96EY1
Q9BX66	Q9UKT9
O00268	Q49A88
P50458	Q95460
Q6ZU52	Q9NTX7
Q9NQ94	P63220
O14730	Q9NYK5
P04066	P05556
P02511	P12270
P40123	P13805
Q9BZE0	Q9Y5E9
O43439	Q00604
P14859	Q5W0Q7
Q9NZ52	Q16620
O76071	Q96CG3
Q9BU61	Q9BS18
Q8TAF8	Q9UBI1
Q9UBF1	Q9UBS4
Q4G0X9	P37231
Q9UJT9	P57682
Q07889	Q96JB2
P07384	P61586
Q9NWU2	P60201
Q9NRM7	Q9UBW8
O60762	Q15528
P18146	P26367
O00151	Q14566
Q9BWG6	Q86WZ6
O60240	Q9UK80
Q6ZVD8	Q14165
O00291	Q9NRX1
Q9UHK0	O94842
P17026	Q9NZL4
Q15366	P51955
Q2MKA7	Q9BRL6
O15541	P22223
P61328	Q9H1D9
A8MT69	Q07912
Q9Y6W5	P51843
Q9ULZ2	O00487
Q9H3R5	Q96H86
Q9NPJ8	Q9P2D1
P55042	Q96L50
P80217	O75830
Q9NYG5	O75344
O75367	P27708
Q16827	Q9GZQ4
P54274	Q07011
Q9Y2T2	O43490
Q13118	O95045
Q8IUD2	Q13099
Q6FI81	Q9BUG6
Q6UWZ7	Q6NZ36
Q9UHI6	P09110
Q8IWZ8	P51532
Q96KS9	A7MCY6
P62913	O95239
P38159	O60942
Q96GX1	P86791
Q15007	Q9UBT6
P10914	Q8NB15
P01042	Q9UPN4
Q86VP1	P08648
P61978	O95479
Q14449	Q9Y4X5
O94955	Q9Y4Z2
Q96DE0	O14578
Q15052	O14770
Q8IWE2	P40227
Q16584	P15918
Q8WYL5	O15259
Q9GZL7	P53355
Q9H2A7	Q13263
Q53H47	Q9P2S5
Q86UQ8	Q9UM11
Q9BU64	Q16629
P49759	Q6ZW31
Q86U44	Q86SZ2
Q8IXW5	Q96IZ7
P49716	Q9UFB7
O14910	Q04828
Q9UIH9	Q99714
Q86VP1	Q53GL0
P16671	Q12891
Q9NQY0	Q9UBU9
Q9ULR3	Q8WWB3
Q9UBC3	Q99615
Q8IUD6	Q14103
Q9BYQ4	O95149
Q99990	P42684
O95985	Q9UN86
Q96PN7	Q15149
Q1MSJ5	O94817
P41238	Q92917
P19484	Q9HCK8
P15918	Q92834
O43572	Q07912
O43707	Q9UHD2
Q9NTN9	Q06546
P28340	Q9UPY8
O60229	Q9Y450
Q96J92	Q9NYV6
Q92844	Q14493
Q96DC7	P20810
Q92900	Q03989
P49454	P63208
O43439	Q7Z3B4
Q9UII2	Q12874
Q7Z434	Q9ULZ2
O15520	P21860
P07902	Q9NW38
P62826	Q9H7X7
O75592	Q7L5A3
Q9BTE6	Q9Y248
Q9Y421	O15031
P84077	P53367
P33681	Q8N165
Q53HC9	Q14831
P09210	O15446
P82930	P46531
P0C2W1	P31645
P32942	Q9BQA9
Q9UBI1	Q9P2X0
Q03252	P28715
Q9UPY5	P62945
Q68CQ4	Q9UK45
Q8N302	O60313
P48549	P17028
P11021	Q9UQK1
Q8N165	P00533
Q56P03	Q8IY18
Q96E11	Q8N6R1
Q96NL3	O14649
Q9BRT9	Q13627
O00631	Q7Z3K3
O75828	Q14781
P13804	O75152
Q8N6T7	P53801
P46952	Q96RI1
Q96AJ9	Q9BXS5
P25116	P17987
P06401	P62826
Q13228	Q9NR80
Q8NCX0	P98155
Q16288	Q5T6F0
Q8N6N6	Q9Y6K1
P04180	Q5MIZ7
Q7L7V1	Q02535
P31949	Q9UN79
Q8IUW3	Q96MF7
P62995	P51151
Q96BW1	P21506
P48047	Q6IQ32
Q7RTN6	Q6PL18
P12272	Q63ZY3
Q9UBK2	O60240
Q03154	P15056
P02786	Q15024
O43291	Q9H147
Q9Y2D1	O14807
Q8N386	Q96NZ9
Q8N108	P17022
O15205	Q9UGL9
Q70EL2	Q9UHY8
P30291	Q15118
Q9NR21	O14775
Q86XT4	Q9H9A7
Q05BQ5	O75496
P47756	Q9HCJ0
O43490	Q7Z7F0
Q86SX6	O60741
P03905	Q9Y5W3
P18858	P57060
P40937	Q8TB96
P23582	O75351
Q96Q35	Q8NDC4
Q9ULX3	O43734
Q9H0M0	Q9H0W9
Q9UHA4	P06401
O75909	O43175
Q9NX70	Q8IVA1
Q9BT43	Q9UHD9
Q9H8S9	P54253
P42229	Q9H7B4
P53041	P0DTW1
Q9UBL6	Q9UHY8
Q9HC62	Q5JWF2
P54709	P15735
Q8N9W6	Q9UHD1
Q13191	Q9NQX4
P07947	O43504
P61086	O75787
Q13976	Q9NZN8
O75438	Q96SL4
O95352	P13224
O95405	Q9Y2Q0
P50876	Q96RL7
O60269	Q12809
Q9BRX5	Q96GX9
P50895	Q92696
O15534	Q9H267
Q9NUI1	P10911
Q9UPN3	Q9Y698
Q7Z6J6	Q8WU90
Q99704	P0CG13
P06858	Q9P219
Q96N58	Q8IXB1
O95704	Q2TAZ0
Q9NWZ3	P46527
Q14166	O43852
O94885	Q9HB96
O95631	Q6UB99
P21452	P08865
O95707	Q01968
O75152	Q9ULR3
O95400	Q9P215
Q8TEH3	Q16394
Q13444	Q9Y3E7
Q9NSB8	Q8N3I7
P58004	Q86WZ6
Q7Z3K3	Q14738
P42356	Q9UHQ4
Q6PI47	P02746
O43490	O14964
Q92597	P06307
P68032	Q96DN6
Q92466	Q9NXU5
O60841	O43474
Q9Y5Q8	Q96ST2
Q8WVT3	P09017
Q9NV06	Q96S82
P49901	Q9NTX7
O14949	Q9Y6Q6
Q9ULS6	O75446
O15143	O15105
Q16620	Q96SB4
Q8IYD1	Q8HWS3
P29373	Q96DC7
Q9Y3A3	Q9P246
Q86UD0	P42224
Q8NA61	Q99956
Q9BSJ2	Q9UIF7
Q13099	O95905
P09110	Q9P2W3
Q6IN84	P49137
Q6PJE2	O15144
Q9NRX1	Q9UNT1
O94921	Q6NT76
P30414	Q9GZL7
P82979	O43524
Q9NQ87	P78362
Q8N2Z9	Q9H0W9
Q8N201	Q9Y388
P15382	Q5T5X7
P28070	P49137
P14618	Q8TDR0
Q96LL4	Q92611
Q7Z5L9	Q96RI1
Q9NRG4	Q6IBS0
Q13772	O75478
O14901	P42568
Q14137	P37198
Q9P2D1	Q9BZL1
Q9P2K2	P40189
Q86UT6	Q9P2S5
Q93008	Q15019
Q9HAU0	P12830
P78406	Q8NB46
O15164	Q8IXZ2
Q9BQ67	Q9NSP4
Q6ZSB9	Q99848
Q7Z6Z7	Q9H1D9
Q08999	Q8WXK3
Q13608	Q14315
Q9Y2X3	Q5PSV4
Q96AT1	Q96JC1
Q96A00	Q99963
Q8WUA4	P55072
Q9P0U3	O60346
Q53H80	Q9H4E5
P08138	Q6P4R8
Q8IWD4	Q13889
O94885	O43426
P16860	Q30201
Q69YN4	Q15697
Q86W11	Q8WWG1
P21854	P49848
P32927	Q9ULX9
Q15788	Q8WVJ2
Q99575	Q7L5A8
P08603	O94985
P26196	P63208
Q9BT78	O75928
Q68DK2	Q92890
Q8TEQ6	Q8IZH2
P03915	Q96B26
P23771	P22455
P16410	Q9NR77
P62256	P16662
Q9H7L9	P22466
P32320	P06737
P17029	Q96BT3
O75390	P26998
Q9Y2X9	Q16718
Q6KB66	Q15019
Q7L2Z9	P42224
Q9UQ84	Q15811
P62166	Q2M1P5
Q9NZM3	Q9Y6I3
Q96PM5	P61160
Q6NUJ2	O75821
Q9P2S5	P13385
P14406	A1L390
Q96HU1	Q9UHR6
Q9NUQ8	O43422
Q14669	P55089
O95251	P35250
Q8N6D2	Q9UHV7
O75935	Q13438
Q9UBW8	O00418
O94989	P35249
Q6NYC1	Q9BSR8
P24001	Q13509
Q8N8K9	P06276
Q9UEU0	Q8TF42
O43557	Q14209
Q9P0K8	Q2M2Z5
O15530	Q9NR21
Q6UB99	Q96K76
O15534	Q9UBQ0
Q96H20	Q8N7C3
Q2T9J0	Q9BXY0
Q86VQ0	P27708
Q9NZE8	P50539
Q05209	P21452
O95503	O43482
P59998	P35670
Q8N6P7	Q16181
Q02086	Q15036
O15031	O15078
Q12879	Q9HCN8
Q14094	O75787
Q5RKV6	P24534
Q9Y2U9	P01160
P47897	Q8NEU8
Q99623	P08138
Q92673	Q92890
Q8N6L0	Q8N490
P26373	P17947
Q9H201	O60673
Q9NXF7	P55316
Q96S79	P01375
P11177	Q9Y6R4
P28070	Q02535
Q8IXI2	O15160
Q8WVM7	Q07817
Q9UHB4	O14757
P04275	P02489
P26441	Q9H7P9
Q92828	Q9NYA1
Q8N3F8	Q9NVW2
Q9H0A8	Q9C0H9
P61006	Q7Z5Y7
Q0D2K3	P04275
Q96C28	Q16695
Q99933	Q8N5Z5
Q9UPN4	P51398
Q14190	Q5T686
Q9UJP4	Q96MD2
O15355	Q07955
P37235	Q9Y5Y5
Q9P2R3	Q9Y5K8
P51787	Q8TDY2
Q08378	O95373
Q96IY1	Q96KR7
Q5TD97	Q969M7
O96028	O15182
A6ZKI3	Q9UBW7
P54132	O43379
P14543	Q86UL8
Q16594	Q9HCC0
Q00887	Q93008
Q8WVL7	Q5T700
P30876	Q14653
Q9GZT3	Q96SQ5
P05121	Q9UNK0
Q13564	P61328
P07900	Q96AD5
Q9UJX0	O43516
Q8N6L0	A7MCY6
P05019	P24863
Q5BJF2	O15037
O75478	Q13601
O75496	Q9Y237
P17026	Q86W11
Q9BX70	Q5BN46
P30101	Q9Y3C1
Q99523	P24752
Q7L8J4	O15457
Q68DC2	Q9NZ52
Q8WU17	P78536
Q9BT78	Q14137
Q6PIW4	Q9BXI6
O94817	O43715
Q9Y253	Q9NX08
P68032	P11021
Q9Y5N6	Q8WVB6
Q5JVS0	Q8WYK2
Q49AN0	Q68CZ2
Q9H668	Q9Y3E7
Q96KC8	Q4LE39
P42568	Q969V6
P52926	Q9H4H8
P62906	Q9H4E5
Q8NFR7	Q9H0D6
O60682	Q9P299
P07195	Q96AX9
Q9UID3	Q6NW29
Q13432	O00155
A1L188	O95900
Q96SQ5	Q99523
Q96MW5	Q9P0L0
O43818	Q12888
Q9BVA0	Q9UKF7
P33992	Q9UL45
P24385	P50151
O95229	Q6UY14
Q9BY84	O43818
Q9H9A7	P21452
Q9HBL8	P29692
Q9UFC0	Q96EZ8
Q9Y2Q0	O00268
Q9NR80	Q9H1Y0
Q8NF91	Q96F44
P49757	Q6BCY4
Q9BSE2	Q8WYQ5
Q9BVV2	O43759
Q8TBK6	Q9UBK9
Q92750	Q7Z5L9
Q8WYA6	Q96JM7
Q8IY31	P15559
O15027	Q9P2Y5
P55060	Q9NV56
Q96K76	Q13952
Q14678	P62913
P53672	P42261
Q07812	Q5T124
A4D1S0	Q8IY47
P16284	P31689
Q9P253	Q6UWL6
Q86XS8	Q9NRL3
Q9UBT2	Q9Y6E7
Q96MA1	O15372
P37837	Q92925
Q8NEZ3	Q8N1A6
Q9Y265	P13667
O95747	Q9H446
Q00987	Q9NQC3
Q7Z7H8	Q9NRL2
Q15170	Q96IG2
Q9UK97	Q9P2K8
Q96HN2	P09884
O43166	Q56NI9
O15111	O00743
Q6PJW8	Q9NPD8
Q8N5Z5	Q8IZU1
Q53HC0	Q14669
Q92832	P23771
Q99759	Q13867
